"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,48.5,48.5,51.5,"Herisau AR","NA NA"
3002,24.5,24.5,75.5,"Hundwil AR","NA NA"
3003,41.3,41.3,58.7,"Schönengrund AR","NA NA"
3004,51.1,51.1,48.9,"Schwellbrunn AR","NA NA"
3005,53,53,47,"Stein AR","NA NA"
3006,43,43,57,"Urnäsch AR","NA NA"
3007,25.6,25.6,74.4,"Waldstatt AR","NA NA"
3021,94.1,94.1,5.9,"Bühler AR","NA NA"
3022,27.7,27.7,72.3,"Gais AR","NA NA"
3023,23.5,23.5,76.5,"Speicher AR","NA NA"
3024,36.7,36.7,63.3,"Teufen AR","NA NA"
3025,85.3,85.3,14.7,"Trogen AR","NA NA"
3031,36.6,36.6,63.4,"Grub AR","NA NA"
3032,43.3,43.3,56.7,"Heiden AR","NA NA"
3033,90.3,90.3,9.7,"Lutzenberg AR","NA NA"
3034,34,34,66,"Rehetobel AR","NA NA"
3035,35.7,35.7,64.3,"Reute AR","NA NA"
3036,26.4,26.4,73.6,"Wald AR","NA NA"
3037,26.6,26.6,73.4,"Walzenhausen AR","NA NA"
3038,60.2,60.2,39.8,"Wolfhalden AR","NA NA"
