"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,86.6,86.6,13.4,"Aarberg BE","Mit 86,6 Prozent befürworten die Stimmberechtigten von Aarberg die Initiative ""Keine 10-Millionen-Schweiz"". NA"
302,94.6,94.6,5.4,"Bargen BE","In Bargen BE erhält die Initiative ""Keine 10-Millionen-Schweiz"" 94,6 Prozent Zustimmung. NA"
303,47,47,53,"Grossaffoltern BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Grossaffoltern 53 Prozent Nein-Stimmen. NA"
304,10.6,10.6,89.4,"Kallnach BE","89,4 Prozent der Stimmbürgerinnen und Stimmbürger von Kallnach sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
305,51.3,51.3,48.7,"Kappelen BE","In Kappelen erhält die Initiative ""Keine 10-Millionen-Schweiz"" 51,3 Prozent Zustimmung. NA"
306,46.1,46.1,53.9,"Lyss BE","In Lyss ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 53,9 Prozent der Stimmen gescheitert. NA"
307,49.3,49.3,50.7,"Meikirch BE","In Meikirch wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 50,7 Prozent abgelehnt. NA"
309,46.2,46.2,53.8,"Radelfingen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Radelfingen 53,8 Prozent Nein-Stimmen. NA"
310,69.6,69.6,30.4,"Rapperswil BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Rapperswil BE 69,6 Prozent Ja-Stimmen. NA"
311,67.1,67.1,32.9,"Schüpfen BE","Mit 67,1 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Schüpfen der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
312,82,82,18,"Seedorf BE","Seedorf BE hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 82 Prozent. NA"
321,12.6,12.6,87.4,"Aarwangen BE","In Aarwangen findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 87,4 Prozent keine Mehrheit. NA"
322,50.8,50.8,49.2,"Auswil BE","50,8 Prozent der Stimmbürgerinnen und Stimmbürger von Auswil haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
323,88.5,88.5,11.5,"Bannwil BE","Mit 88,5 Prozent befürworten die Stimmberechtigten von Bannwil die Initiative ""Keine 10-Millionen-Schweiz"". NA"
324,30.9,30.9,69.1,"Bleienbach BE","In Bleienbach wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 69,1 Prozent abgelehnt. NA"
325,29.9,29.9,70.1,"Busswil bei Melchnau BE","70,1 Prozent der Stimmbürgerinnen und Stimmbürger von Busswil bei Melchnau sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
326,55.6,55.6,44.4,"Gondiswil BE","55,6 Prozent der Stimmbürgerinnen und Stimmbürger von Gondiswil haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
329,26.4,26.4,73.6,"Langenthal BE","73,6 Prozent der Stimmbürgerinnen und Stimmbürger von Langenthal sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
331,43.5,43.5,56.5,"Lotzwil BE","In Lotzwil wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 56,5 Prozent abgelehnt. NA"
332,63.3,63.3,36.7,"Madiswil BE","Mit 63,3 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Madiswil der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
333,19,19,81,"Melchnau BE","In Melchnau findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 81 Prozent keine Mehrheit. NA"
335,50.4,50.4,49.6,"Oeschenbach BE","Oeschenbach hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 50,4 Prozent. NA"
336,37.8,37.8,62.2,"Reisiswil BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Reisiswil 62,2 Prozent Nein-Stimmen. NA"
337,55.2,55.2,44.8,"Roggwil BE","In Roggwil BE erhält die Initiative ""Keine 10-Millionen-Schweiz"" 55,2 Prozent Zustimmung. NA"
338,61.2,61.2,38.8,"Rohrbach BE","Rohrbach hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 61,2 Prozent. NA"
339,46.5,46.5,53.5,"Rohrbachgraben BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Rohrbachgraben 53,5 Prozent Nein-Stimmen. NA"
340,53.6,53.6,46.4,"Rütschelen BE","In Rütschelen erhält die Initiative ""Keine 10-Millionen-Schweiz"" 53,6 Prozent Zustimmung. NA"
341,23.2,23.2,76.8,"Schwarzhäusern BE","In Schwarzhäusern ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 76,8 Prozent der Stimmen gescheitert. NA"
342,50.8,50.8,49.2,"Thunstetten BE","Thunstetten hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 50,8 Prozent. NA"
344,67.6,67.6,32.4,"Ursenbach BE","Mit 67,6 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Ursenbach der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
345,71.2,71.2,28.8,"Wynau BE","71,2 Prozent der Stimmbürgerinnen und Stimmbürger von Wynau haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
351,73.8,73.8,26.2,"Bern BE","Mit 73,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Bern der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
352,43.3,43.3,56.7,"Bolligen BE","In Bolligen ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 56,7 Prozent der Stimmen gescheitert. NA"
353,24.9,24.9,75.1,"Bremgarten bei Bern BE","In Bremgarten bei Bern wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 75,1 Prozent abgelehnt. NA"
354,89.6,89.6,10.4,"Kirchlindach BE","Mit 89,6 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Kirchlindach der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
355,51.4,51.4,48.6,"Köniz BE","51,4 Prozent der Stimmbürgerinnen und Stimmbürger von Köniz haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
356,29.5,29.5,70.5,"Muri bei Bern BE","In Muri bei Bern wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 70,5 Prozent abgelehnt. NA"
357,98.3,98.3,1.7,"Oberbalm BE","In Oberbalm erhält die Initiative ""Keine 10-Millionen-Schweiz"" 98,3 Prozent Zustimmung. NA"
358,86,86,14,"Stettlen BE","Mit 86 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Stettlen der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
359,56.6,56.6,43.4,"Vechigen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Vechigen 56,6 Prozent Ja-Stimmen. NA"
360,2,2,98,"Wohlen bei Bern BE","In Wohlen bei Bern wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 98 Prozent abgelehnt. NA"
361,8.3,8.3,91.7,"Zollikofen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Zollikofen 91,7 Prozent Nein-Stimmen. NA"
362,56.3,56.3,43.7,"Ittigen BE","Mit 56,3 Prozent befürworten die Stimmberechtigten von Ittigen die Initiative ""Keine 10-Millionen-Schweiz"". NA"
363,49.8,49.8,50.2,"Ostermundigen BE","In Ostermundigen ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 50,2 Prozent der Stimmen gescheitert. NA"
371,45.4,45.4,54.6,"Biel BE","In Biel BE wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 54,6 Prozent abgelehnt. NA"
372,2.7,2.7,97.3,"Leubringen BE","97,3 Prozent der Stimmbürgerinnen und Stimmbürger von Leubringen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
381,43.6,43.6,56.4,"Arch BE","In Arch findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 56,4 Prozent keine Mehrheit. NA"
382,46.3,46.3,53.7,"Büetigen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Büetigen 53,7 Prozent Nein-Stimmen. NA"
383,81.1,81.1,18.9,"Büren an der Aare BE","81,1 Prozent der Stimmbürgerinnen und Stimmbürger von Büren an der Aare haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
385,26.7,26.7,73.3,"Diessbach bei Büren BE","In Diessbach bei Büren findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 73,3 Prozent keine Mehrheit. NA"
386,48.1,48.1,51.9,"Dotzigen BE","51,9 Prozent der Stimmbürgerinnen und Stimmbürger von Dotzigen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
387,47,47,53,"Lengnau BE","In Lengnau BE findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 53 Prozent keine Mehrheit. NA"
388,71.7,71.7,28.3,"Leuzigen BE","Mit 71,7 Prozent befürworten die Stimmberechtigten von Leuzigen die Initiative ""Keine 10-Millionen-Schweiz"". NA"
390,10.6,10.6,89.4,"Meinisberg BE","89,4 Prozent der Stimmbürgerinnen und Stimmbürger von Meinisberg sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus."
391,39.7,39.7,60.3,"Oberwil bei Büren BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Oberwil bei Büren 60,3 Prozent Nein-Stimmen. NA"
392,50.4,50.4,49.6,"Pieterlen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Pieterlen 50,4 Prozent Ja-Stimmen. NA"
393,57.1,57.1,42.9,"Rüti bei Büren BE","Mit 57,1 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Rüti bei Büren der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
394,38.3,38.3,61.7,"Wengi BE","In Wengi ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 61,7 Prozent der Stimmen gescheitert. NA"
401,50.8,50.8,49.2,"Aefligen BE","In Aefligen erhält die Initiative ""Keine 10-Millionen-Schweiz"" 50,8 Prozent Zustimmung. NA"
402,28.6,28.6,71.4,"Alchenstorf BE","In Alchenstorf ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 71,4 Prozent der Stimmen gescheitert. NA"
403,48.7,48.7,51.3,"Bäriswil BE","In Bäriswil findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 51,3 Prozent keine Mehrheit. NA"
404,7.3,7.3,92.7,"Burgdorf BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Burgdorf 92,7 Prozent Nein-Stimmen. NA"
405,4.4,4.4,95.6,"Ersigen BE","In Ersigen ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 95,6 Prozent der Stimmen gescheitert. NA"
406,97,97,3,"Hasle bei Burgdorf BE","Mit 97 Prozent befürworten die Stimmberechtigten von Hasle bei Burgdorf die Initiative ""Keine 10-Millionen-Schweiz"". NA"
407,1.2,1.2,98.8,"Heimiswil BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Heimiswil 98,8 Prozent Nein-Stimmen. NA"
409,34.2,34.2,65.8,"Hindelbank BE","65,8 Prozent der Stimmbürgerinnen und Stimmbürger von Hindelbank sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
410,86.8,86.8,13.2,"Höchstetten BE","Mit 86,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Höchstetten der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
411,28,28,72,"Kernenried BE","In Kernenried findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 72 Prozent keine Mehrheit. NA"
412,49.4,49.4,50.6,"Kirchberg BE","50,6 Prozent der Stimmbürgerinnen und Stimmbürger von Kirchberg BE sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
413,21.4,21.4,78.6,"Koppigen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Koppigen 78,6 Prozent Nein-Stimmen. NA"
414,86,86,14,"Krauchthal BE","Mit 86 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Krauchthal der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
415,52.9,52.9,47.1,"Lyssach BE","Lyssach hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 52,9 Prozent. NA"
418,74,74,26,"Oberburg BE","Mit 74 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Oberburg der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
420,33,33,67,"Rüdtligen-Alchenflüh BE","67 Prozent der Stimmbürgerinnen und Stimmbürger von Rüdtligen-Alchenflüh sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
421,67.8,67.8,32.2,"Rumendingen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Rumendingen 67,8 Prozent Ja-Stimmen. NA"
422,45,45,55,"Rüti bei Lyssach BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Rüti bei Lyssach 55 Prozent Nein-Stimmen. NA"
423,37.5,37.5,62.5,"Willadingen BE","In Willadingen findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 62,5 Prozent keine Mehrheit."
424,39.3,39.3,60.7,"Wynigen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Wynigen 60,7 Prozent Nein-Stimmen. NA"
431,39.2,39.2,60.8,"Corgémont BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Corgémont 60,8 Prozent Nein-Stimmen. NA"
432,26.8,26.8,73.2,"Cormoret BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Cormoret 73,2 Prozent Nein-Stimmen. NA"
433,57.8,57.8,42.2,"Cortébert BE","Mit 57,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Cortébert der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
434,88.1,88.1,11.9,"Courtelary BE","Mit 88,1 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Courtelary der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
435,30.6,30.6,69.4,"La Ferrière BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in La Ferrière 69,4 Prozent Nein-Stimmen. NA"
437,89.8,89.8,10.2,"Mont-Tramelan BE","Mont-Tramelan hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 89,8 Prozent. NA"
438,11.3,11.3,88.7,"Orvin BE","In Orvin wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 88,7 Prozent abgelehnt. NA"
441,26.2,26.2,73.8,"Renan BE","73,8 Prozent der Stimmbürgerinnen und Stimmbürger von Renan BE sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
442,3.2,3.2,96.8,"Romont BE","In Romont BE findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 96,8 Prozent keine Mehrheit. NA"
443,40.8,40.8,59.2,"St. Immer BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in St. Immer 59,2 Prozent Nein-Stimmen. NA"
444,44.9,44.9,55.1,"Sonceboz-Sombeval BE","In Sonceboz-Sombeval findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 55,1 Prozent keine Mehrheit. NA"
445,21.5,21.5,78.5,"Sonvilier BE","In Sonvilier findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 78,5 Prozent keine Mehrheit. NA"
446,41.9,41.9,58.1,"Tramelan BE","In Tramelan findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 58,1 Prozent keine Mehrheit. NA"
448,26.9,26.9,73.1,"Villeret BE","In Villeret ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 73,1 Prozent der Stimmen gescheitert. NA"
449,12.4,12.4,87.6,"Sauge BE","87,6 Prozent der Stimmbürgerinnen und Stimmbürger von Sauge sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
450,34.8,34.8,65.2,"Péry-La Heutte BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Péry-La Heutte 65,2 Prozent Nein-Stimmen. NA"
491,63,63,37,"Brüttelen BE","Brüttelen hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 63 Prozent. NA"
492,93.7,93.7,6.3,"Erlach BE","Mit 93,7 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Erlach der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
493,71.3,71.3,28.7,"Finsterhennen BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Finsterhennen 71,3 Prozent Ja-Stimmen. NA"
494,47.7,47.7,52.3,"Gals BE","In Gals findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 52,3 Prozent keine Mehrheit. NA"
495,50,50,50,"Gampelen BE","Unentschieden in Gampelen: Genau 6'713 Stimmberechtigte stimmen für und gegen die Initiative ""Keine 10-Millionen-Schweiz""."
496,40.4,40.4,59.6,"Ins BE","59,6 Prozent der Stimmbürgerinnen und Stimmbürger von Ins sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
497,12.7,12.7,87.3,"Lüscherz BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Lüscherz 87,3 Prozent Nein-Stimmen. NA"
498,81.6,81.6,18.4,"Müntschemier BE","Mit 81,6 Prozent befürworten die Stimmberechtigten von Müntschemier die Initiative ""Keine 10-Millionen-Schweiz"". NA"
499,48,48,52,"Siselen BE","52 Prozent der Stimmbürgerinnen und Stimmbürger von Siselen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
500,74.9,74.9,25.1,"Treiten BE","In Treiten erhält die Initiative ""Keine 10-Millionen-Schweiz"" 74,9 Prozent Zustimmung. NA"
501,1.3,1.3,98.7,"Tschugg BE","In Tschugg findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 98,7 Prozent keine Mehrheit. NA"
502,47.6,47.6,52.4,"Vinelz BE","In Vinelz findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 52,4 Prozent keine Mehrheit. NA"
533,30.5,30.5,69.5,"Bätterkinden BE","69,5 Prozent der Stimmbürgerinnen und Stimmbürger von Bätterkinden sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
538,71.2,71.2,28.8,"Fraubrunnen BE","71,2 Prozent der Stimmbürgerinnen und Stimmbürger von Fraubrunnen haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
540,53.9,53.9,46.1,"Jegenstorf BE","In Jegenstorf erhält die Initiative ""Keine 10-Millionen-Schweiz"" 53,9 Prozent Zustimmung. NA"
541,24.9,24.9,75.1,"Iffwil BE","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Iffwil 75,1 Prozent Nein-Stimmen. NA"
543,22.3,22.3,77.7,"Mattstetten BE","77,7 Prozent der Stimmbürgerinnen und Stimmbürger von Mattstetten sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
544,71.1,71.1,28.9,"Moosseedorf BE","Mit 71,1 Prozent befürworten die Stimmberechtigten von Moosseedorf die Initiative ""Keine 10-Millionen-Schweiz"". NA"
