"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,36.6,36.6,63.4,"Aesch BL","In Aesch BL hat das Zivildienstgesetz keine Mehrheit gefunden: 63,4 Prozent lehnen die Vorlage ab. Aesch BL lehnt das Zivildienstgesetz ab, der Kanton Basel-Landschaft nimmt sie an."
2762,15.5,15.5,84.5,"Allschwil BL","Allschwil hat das Zivildienstgesetz mit 84,5 Prozent Nein-Stimmen verworfen. Allschwil lehnt das Zivildienstgesetz ab, der Kanton Basel-Landschaft nimmt sie an."
2763,22.7,22.7,77.3,"Arlesheim BL","Nein zum Zivildienstgesetz in Arlesheim: 77,3 Prozent. Arlesheim lehnt das Zivildienstgesetz ab, der Kanton Basel-Landschaft nimmt sie an."
2764,83.6,83.6,16.4,"Biel-Benken BL","Das Zivildienstgesetz erreicht in Biel-Benken 83,6 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Basel-Landschaft stimmt Biel-Benken dem Zivildienstgesetz zu."
2765,36,36,64,"Binningen BL","Nein zum Zivildienstgesetz in Binningen: 64 Prozent. Binningen lehnt das Zivildienstgesetz ab, der Kanton Basel-Landschaft nimmt sie an."
2766,6.5,6.5,93.5,"Birsfelden BL","Birsfelden hat das Zivildienstgesetz mit 93,5 Prozent Nein-Stimmen verworfen. Birsfelden lehnt das Zivildienstgesetz ab, der Kanton Basel-Landschaft nimmt sie an."
2767,21.5,21.5,78.5,"Bottmingen BL","Bottmingen hat das Zivildienstgesetz mit 78,5 Prozent Nein-Stimmen verworfen. Bottmingen lehnt das Zivildienstgesetz ab, der Kanton Basel-Landschaft nimmt sie an."
2768,75.2,75.2,24.8,"Ettingen BL","In Ettingen wird das Zivildienstgesetz mit 75,2 Prozent angenommen. Übereinstimmend mit dem Kanton Basel-Landschaft stimmt Ettingen dem Zivildienstgesetz zu."
2769,95.2,95.2,4.8,"Münchenstein BL","In Münchenstein wird das Zivildienstgesetz mit 95,2 Prozent angenommen. Übereinstimmend mit dem Kanton Basel-Landschaft stimmt Münchenstein dem Zivildienstgesetz zu."
2770,97.5,97.5,2.5,"Muttenz BL","Das Zivildienstgesetz erreicht in Muttenz 97,5 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Basel-Landschaft stimmt Muttenz dem Zivildienstgesetz zu."
