"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2761,55,55,45,"Aesch BL","Mit 55 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Aesch BL der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
2762,37.7,37.7,62.3,"Allschwil BL","In Allschwil wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 62,3 Prozent abgelehnt. NA"
2763,11.2,11.2,88.8,"Arlesheim BL","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Arlesheim 88,8 Prozent Nein-Stimmen. NA"
2764,86.4,86.4,13.6,"Biel-Benken BL","In Biel-Benken erhält die Initiative ""Keine 10-Millionen-Schweiz"" 86,4 Prozent Zustimmung. NA"
2765,71.8,71.8,28.2,"Binningen BL","Mit 71,8 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Binningen der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
2766,42.6,42.6,57.4,"Birsfelden BL","In Birsfelden wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 57,4 Prozent abgelehnt. NA"
2767,80.5,80.5,19.5,"Bottmingen BL","Mit 80,5 Prozent befürworten die Stimmberechtigten von Bottmingen die Initiative ""Keine 10-Millionen-Schweiz"". NA"
2768,72.5,72.5,27.5,"Ettingen BL","Mit 72,5 Prozent befürworten die Stimmberechtigten von Ettingen die Initiative ""Keine 10-Millionen-Schweiz"". NA"
2769,50.7,50.7,49.3,"Münchenstein BL","Mit 50,7 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Münchenstein der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
2770,42.2,42.2,57.8,"Muttenz BL","57,8 Prozent der Stimmbürgerinnen und Stimmbürger von Muttenz sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
2771,86,86,14,"Oberwil BL","Mit 86 Prozent befürworten die Stimmberechtigten von Oberwil BL die Initiative ""Keine 10-Millionen-Schweiz"". NA"
2772,44.2,44.2,55.8,"Pfeffingen BL","55,8 Prozent der Stimmbürgerinnen und Stimmbürger von Pfeffingen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
2773,2.4,2.4,97.6,"Reinach BL","In Reinach BL ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 97,6 Prozent der Stimmen gescheitert. NA"
2774,7.8,7.8,92.2,"Schönenbuch BL","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Schönenbuch 92,2 Prozent Nein-Stimmen. NA"
2775,74.4,74.4,25.6,"Therwil BL","Therwil hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 74,4 Prozent. NA"
2781,54,54,46,"Blauen BL","Mit 54 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Blauen der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
2782,77.6,77.6,22.4,"Brislach BL","77,6 Prozent der Stimmbürgerinnen und Stimmbürger von Brislach haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
