"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,59.2,59.2,40.8,"Aire-la-Ville (GE)","La population d'Aire-la-Ville approuve à 59,2 pour cent la réforme du service civil. Aire-la-Ville a approuvé la réforme, contrairement à son canton."
6602,71.3,71.3,28.7,"Anières (GE)","La réforme du service civil est approuvée à Anières par 71,3 pour cent des votants. Anières a approuvé la réforme, contrairement à son canton."
6603,33.7,33.7,66.3,"Avully (GE)","Les habitants d'Avully s'opposent à la réforme du service civil par 66,3 pour cent des voix. Avully a rejeté la réforme, tout comme son canton."
6604,88.3,88.3,11.7,"Avusy (GE)","A Avusy, les habitants disent oui à 88,3 pour cent à la réforme du service civil. Avusy a approuvé la réforme, contrairement à son canton."
6605,26,26,74,"Bardonnex (GE)","La réforme du service civil n'a pas trouvé grâce aux yeux des citoyens de Bardonnex. Ils ont refusé le texte à 74 pour cent. Bardonnex a rejeté la réforme, tout comme son canton."
6606,92,92,8,"Bellevue (GE)","Bellevue dit oui à 92 pour cent à la réforme du service civil. Bellevue a approuvé la réforme, contrairement à son canton."
6607,53.1,53.1,46.9,"Bernex (GE)","Bernex dit oui à 53,1 pour cent à la réforme du service civil. Bernex a approuvé la réforme, contrairement à son canton."
6608,48.8,48.8,51.2,"Carouge (GE)","La réforme du service civil n'a pas convaincu à Carouge (GE). Les citoyens de la commune ont refusé le texte à 51,2 pour cent. Carouge (GE) a rejeté la réforme, tout comme son canton."
6609,88.4,88.4,11.6,"Cartigny (GE)","Les habitants de Cartigny soutiennent à 88,4 pour cent la réforme du service civil. Cartigny a approuvé la réforme, contrairement à son canton."
6610,13.9,13.9,86.1,"Céligny (GE)","La population de Céligny rejette à 86,1 pour cent des voix la réforme du service civil. Céligny a rejeté la réforme, tout comme son canton."
6611,61,61,39,"Chancy (GE)","Les habitants de Chancy acceptent à 61 pour cent la réforme du service civil. Chancy a approuvé la réforme, contrairement à son canton."
6612,47.7,47.7,52.3,"Chêne-Bougeries (GE)","La réforme du service civil est refusée à 52,3 pour cent à Chêne-Bougeries. Chêne-Bougeries a rejeté la réforme, tout comme son canton."
6613,34.3,34.3,65.7,"Chêne-Bourg (GE)","La réforme du service civil est refusée à 65,7 pour cent à Chêne-Bourg. Chêne-Bourg a rejeté la réforme, tout comme son canton."
6614,77.9,77.9,22.1,"Choulex (GE)","La réforme du service civil est approuvée à Choulex par 77,9 pour cent des votants. Choulex a approuvé la réforme, contrairement à son canton."
6615,52.4,52.4,47.6,"Collex-Bossy (GE)","A Collex-Bossy, les habitants disent oui à 52,4 pour cent à la réforme du service civil. Collex-Bossy a approuvé la réforme, contrairement à son canton."
6616,3.6,3.6,96.4,"Collonge-Bellerive (GE)","La population de Collonge-Bellerive rejette à 96,4 pour cent des voix la réforme du service civil. Collonge-Bellerive a rejeté la réforme, tout comme son canton."
6617,23.5,23.5,76.5,"Cologny (GE)","A Cologny, les citoyens rejettent à 76,5 pour cent la réforme du service civil. Cologny a rejeté la réforme, tout comme son canton."
6618,99.9,99.9,0.1,"Confignon (GE)","Confignon se classe au troisième rang des plus fortes approbations de la réforme du service civil. Ses citoyens disent oui à 99,9 pour cent. Le plus fort pourcentage de oui du canton de Genève a été obtenu à Confignon."
6619,56.4,56.4,43.6,"Corsier (GE)","Corsier (GE) dit oui à 56,4 pour cent à la réforme du service civil. Corsier (GE) a approuvé la réforme, contrairement à son canton."
6620,44.7,44.7,55.3,"Dardagny (GE)","Les habitants de Dardagny s'opposent à la réforme du service civil par 55,3 pour cent des voix. Dardagny a rejeté la réforme, tout comme son canton."
