"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
3506,61.9,61.9,38.1,"Vaz/Obervaz (GR)","A Vaz/Obervaz la modifica della legge sul servizio civile è stata approvata con il 61,9 per cento."
3513,64.4,64.4,35.6,"Lantsch/Lenz (GR)","Sì alla modifica della legge sul servizio civile a Lantsch/Lenz con il 64,4 per cento."
3514,79.1,79.1,20.9,"Schmitten (GR)","A Schmitten GR la modifica della legge sul servizio civile passa con 68 contro 18 voti."
3542,60.6,60.6,39.4,"Albula/Alvra (GR)","La popolazione di Albula/Alvra approva la modifica della legge sul servizio civile con il 60,6 per cento."
3543,60.5,60.5,39.5,"Surses (GR)","Sì alla modifica della legge sul servizio civile a Surses con il 60,5 per cento."
3544,56.3,56.3,43.7,"Bergün Filisur (GR)","Sì alla modifica della legge sul servizio civile a Bergün Filisur con il 56,3 per cento."
3551,55.2,55.2,44.8,"Brusio (GR)","La popolazione di Brusio approva la modifica della legge sul servizio civile con il 55,2 per cento."
3561,64.2,64.2,35.8,"Poschiavo (GR)","Sì alla modifica della legge sul servizio civile a Poschiavo, con il 64,2 per cento di voti favorevoli."
3572,60.9,60.9,39.1,"Falera (GR)","Sì alla modifica della legge sul servizio civile a Falera, con il 60,9 per cento di voti favorevoli."
3575,65.5,65.5,34.5,"Laax (GR)","A Laax, la modifica della legge sul servizio civile è approvata con il 65,5 per cento."
3581,52.5,52.5,47.5,"Sagogn (GR)","Sì alla modifica della legge sul servizio civile a Sagogn con il 52,5 per cento."
3582,63.2,63.2,36.8,"Schluein (GR)","A Schluein, la modifica della legge sul servizio civile è stata approvata con il 63,2 per cento."
3603,68.1,68.1,31.9,"Vals (GR)","Sì alla modifica della legge sul servizio civile a Vals con il 68,1 per cento."
3618,64.4,64.4,35.6,"Lumnezia (GR)","La popolazione di Lumnezia approva la modifica della legge sul servizio civile con il 64,4 per cento."
3619,57.5,57.5,42.5,"Ilanz/Glion (GR)","A Ilanz/Glion, la modifica della legge sul servizio civile è approvata con il 57,5 per cento."
3633,58.7,58.7,41.3,"Fürstenau (GR)","Sì alla modifica della legge sul servizio civile a Fürstenau, con il 58,7 per cento di voti favorevoli."
3637,62.5,62.5,37.5,"Rothenbrunnen (GR)","A Rothenbrunnen, la modifica della legge sul servizio civile è approvata con il 62,5 per cento."
3638,52.7,52.7,47.3,"Scharans (GR)","Sì alla modifica della legge sul servizio civile a Scharans: 52,7 per cento."
3640,61.7,61.7,38.3,"Sils im Domleschg (GR)","A Sils im Domleschg, la modifica della legge sul servizio civile è approvata con il 61,7 per cento."
