"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1001,38.6,38.6,61.4,"Doppleschwand LU","61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Doppleschwand haben das Zivildienstgesetz abgelehnt. Doppleschwand lehnt das Zivildienstgesetz ab, der Kanton Luzern nimmt sie an."
1002,56.4,56.4,43.6,"Entlebuch LU","In Entlebuch wird das Zivildienstgesetz mit 56,4 Prozent angenommen. Übereinstimmend mit dem Kanton Luzern stimmt Entlebuch dem Zivildienstgesetz zu."
1004,37.1,37.1,62.9,"Flühli LU","Nein zum Zivildienstgesetz in Flühli: 62,9 Prozent. Flühli lehnt das Zivildienstgesetz ab, der Kanton Luzern nimmt sie an."
1005,62.2,62.2,37.8,"Hasle LU","Die Vorlage das Zivildienstgesetz ist in Hasle LU mit 62,2 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Luzern stimmt Hasle LU dem Zivildienstgesetz zu."
1007,91.9,91.9,8.1,"Romoos LU","In Romoos wird das Zivildienstgesetz mit 91,9 Prozent angenommen. Übereinstimmend mit dem Kanton Luzern stimmt Romoos dem Zivildienstgesetz zu."
1008,54.9,54.9,45.1,"Schüpfheim LU","Das Zivildienstgesetz erreicht in Schüpfheim 54,9 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Luzern stimmt Schüpfheim dem Zivildienstgesetz zu."
1009,71.2,71.2,28.8,"Werthenstein LU","In Werthenstein wird das Zivildienstgesetz mit 71,2 Prozent angenommen. Übereinstimmend mit dem Kanton Luzern stimmt Werthenstein dem Zivildienstgesetz zu."
1010,25.9,25.9,74.1,"Escholzmatt-Marbach LU","In Escholzmatt-Marbach hat das Zivildienstgesetz keine Mehrheit gefunden: 74,1 Prozent lehnen die Vorlage ab. Escholzmatt-Marbach lehnt das Zivildienstgesetz ab, der Kanton Luzern nimmt sie an."
1021,37.5,37.5,62.5,"Aesch LU","In Aesch LU hat das Zivildienstgesetz keine Mehrheit gefunden: 62,5 Prozent lehnen die Vorlage ab. Aesch LU lehnt das Zivildienstgesetz ab, der Kanton Luzern nimmt sie an."
1023,51,51,49,"Ballwil LU","Das Zivildienstgesetz erreicht in Ballwil 51 Prozent Ja-Stimmen. Übereinstimmend mit dem Kanton Luzern stimmt Ballwil dem Zivildienstgesetz zu."
1024,60.1,60.1,39.9,"Emmen LU","In Emmen ist das Zivildienstgesetz mit 60,1 Prozent der Stimmen angenommen worden. Übereinstimmend mit dem Kanton Luzern stimmt Emmen dem Zivildienstgesetz zu."
1025,32.6,32.6,67.4,"Ermensee LU","Ermensee hat das Zivildienstgesetz mit 67,4 Prozent Nein-Stimmen verworfen. Ermensee lehnt das Zivildienstgesetz ab, der Kanton Luzern nimmt sie an."
1026,73.2,73.2,26.8,"Eschenbach LU","In Eschenbach LU wird das Zivildienstgesetz mit 73,2 Prozent angenommen. Übereinstimmend mit dem Kanton Luzern stimmt Eschenbach LU dem Zivildienstgesetz zu."
1030,42.6,42.6,57.4,"Hitzkirch LU","Hitzkirch hat das Zivildienstgesetz mit 57,4 Prozent Nein-Stimmen verworfen. Hitzkirch lehnt das Zivildienstgesetz ab, der Kanton Luzern nimmt sie an."
