"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6404,21.4,21.4,78.6,"Boudry (NE)","Les habitants de Boudry s'opposent à la réforme du service civil par 78,6 pour cent des voix. Boudry a rejeté la réforme, contrairement à son canton."
6408,18.7,18.7,81.3,"Cortaillod (NE)","La réforme du service civil n'a pas trouvé grâce aux yeux des citoyens de Cortaillod. Ils ont refusé le texte à 81,3 pour cent. Cortaillod a rejeté la réforme, contrairement à son canton."
6413,40.4,40.4,59.6,"Rochefort (NE)","C'est non à la réforme du service civil à Rochefort. Les habitants ont refusé le texte à 59,6 pour cent. Rochefort a rejeté la réforme, contrairement à son canton."
6416,25,25,75,"Milvignes (NE)","La réforme du service civil n'a pas trouvé grâce aux yeux des citoyens de Milvignes. Ils ont refusé le texte à 75 pour cent. Milvignes a rejeté la réforme, contrairement à son canton."
6417,6.5,6.5,93.5,"La Grande Béroche (NE)","La réforme du service civil n'a pas trouvé grâce aux yeux des citoyens de La Grande Béroche. Ils ont refusé le texte à 93,5 pour cent. La Grande Béroche a rejeté la réforme, contrairement à son canton."
6421,39.6,39.6,60.4,"La Chaux-de-Fonds (NE)","La réforme du service civil n'a pas trouvé grâce aux yeux des citoyens de La Chaux-de-Fonds. Ils ont refusé le texte à 60,4 pour cent. La Chaux-de-Fonds a rejeté la réforme, contrairement à son canton."
6422,75.7,75.7,24.3,"Les Planchettes (NE)","Aux Planchettes, les habitants disent oui à 75,7 pour cent à la réforme du service civil. Les Planchettes a approuvé la réforme, tout comme son canton."
6423,60.9,60.9,39.1,"La Sagne (NE)","La Sagne dit oui à 60,9 pour cent à la réforme du service civil. La Sagne a approuvé la réforme, tout comme son canton."
6432,60.3,60.3,39.7,"La Brévine (NE)","La Brévine dit oui à 60,3 pour cent à la réforme du service civil. La Brévine a approuvé la réforme, tout comme son canton."
6433,30.2,30.2,69.8,"Brot-Plamboz (NE)","A Brot-Plamboz, les citoyens rejettent à 69,8 pour cent la réforme du service civil. Brot-Plamboz a rejeté la réforme, contrairement à son canton."
6434,76.6,76.6,23.4,"Le Cerneux-Péquignot (NE)","La réforme du service civil passe la rampe avec 76,6 pour cent de oui au Cerneux-Péquignot. Le Cerneux-Péquignot a approuvé la réforme, tout comme son canton."
6435,69.4,69.4,30.6,"La Chaux-du-Milieu (NE)","La Chaux-du-Milieu dit oui à 69,4 pour cent à la réforme du service civil. La Chaux-du-Milieu a approuvé la réforme, tout comme son canton."
6436,49.1,49.1,50.9,"Le Locle (NE)","La population du Locle rejette à 50,9 pour cent des voix la réforme du service civil. Le Locle a rejeté la réforme, contrairement à son canton."
6437,58.2,58.2,41.8,"Les Ponts-de-Martel (NE)","Les habitants des Ponts-de-Martel soutiennent à 58,2 pour cent la réforme du service civil. Les Ponts-de-Martel a approuvé la réforme, tout comme son canton."
6451,75.7,75.7,24.3,"Cornaux (NE)","La population de Cornaux approuve à 75,7 pour cent la réforme du service civil. Cornaux a approuvé la réforme, tout comme son canton."
6452,61.1,61.1,38.9,"Cressier (NE)","Les habitants de Cressier (NE) acceptent à 61,1 pour cent la réforme du service civil. Cressier (NE) a approuvé la réforme, tout comme son canton."
6455,42.9,42.9,57.1,"Le Landeron (NE)","La population du Landeron rejette à 57,1 pour cent des voix la réforme du service civil. Le Landeron a rejeté la réforme, contrairement à son canton."
6456,54.3,54.3,45.7,"Lignières (NE)","A Lignières, les habitants disent oui à 54,3 pour cent à la réforme du service civil. Lignières a approuvé la réforme, tout comme son canton."
6458,70.5,70.5,29.5,"Neuchâtel (NE)","Les habitants de Neuchâtel soutiennent à 70,5 pour cent la réforme du service civil. Neuchâtel a approuvé la réforme, tout comme son canton."
6487,4,4,96,"Val-de-Ruz (NE)","La réforme du service civil n'a pas convaincu à Val-de-Ruz. Les citoyens de la commune ont refusé le texte à 96 pour cent. Le plus fort pourcentage de non du canton de Neuchâtel a été obtenu à Val-de-Ruz."
6504,60.5,60.5,39.5,"La Côte-aux-Fées (NE)","La Côte-aux-Fées dit oui à 60,5 pour cent à la réforme du service civil. La Côte-aux-Fées a approuvé la réforme, tout comme son canton."
6511,47.7,47.7,52.3,"Les Verrières (NE)","C'est non à la réforme du service civil aux Verrières. Les habitants ont refusé le texte à 52,3 pour cent. Les Verrières a rejeté la réforme, contrairement à son canton."
6512,87.3,87.3,12.7,"Val-de-Travers (NE)","La population de Val-de-Travers approuve à 87,3 pour cent la réforme du service civil. Le plus fort pourcentage de oui du canton de Neuchâtel a été obtenu à Val-de-Travers."
6513,87.2,87.2,12.8,"Laténa (NE)","A Laténa, les habitants disent oui à 87,2 pour cent à la réforme du service civil. Laténa a approuvé la réforme, tout comme son canton."
