"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1501,68.3,68.3,31.7,"Beckenried NW","In Beckenried wird das Zivildienstgesetz mit 68,3 Prozent angenommen. Beckenried nimmt das Zivildienstgesetz an, der Kanton Nidwalden lehnt es ab."
1502,78.1,78.1,21.9,"Buochs NW","Das Zivildienstgesetz erreicht in Buochs 78,1 Prozent Ja-Stimmen. Höchster Ja-Anteil zum Zivildienstgesetz im Kanton Nidwalden: Buochs."
1503,37.7,37.7,62.3,"Dallenwil NW","Dallenwil hat das Zivildienstgesetz mit 62,3 Prozent Nein-Stimmen verworfen. Sowohl Dallenwil als auch der Kanton Nidwalden verwerfen das Zivildienstgesetz."
1504,10.3,10.3,89.7,"Emmetten NW","Nein zum Zivildienstgesetz in Emmetten: 89,7 Prozent. Emmetten verzeichnet im Kanton Nidwalden den höchsten Nein-Anteil zum Zivildienstgesetz."
1505,15.7,15.7,84.3,"Ennetbürgen NW","Nein zum Zivildienstgesetz in Ennetbürgen: 84,3 Prozent. Sowohl Ennetbürgen als auch der Kanton Nidwalden verwerfen das Zivildienstgesetz."
1506,59.5,59.5,40.5,"Ennetmoos NW","In Ennetmoos wird das Zivildienstgesetz mit 59,5 Prozent angenommen. Ennetmoos nimmt das Zivildienstgesetz an, der Kanton Nidwalden lehnt es ab."
1507,34.5,34.5,65.5,"Hergiswil NW","Hergiswil NW hat das Zivildienstgesetz mit 65,5 Prozent Nein-Stimmen verworfen. Sowohl Hergiswil NW als auch der Kanton Nidwalden verwerfen das Zivildienstgesetz."
1508,68.8,68.8,31.2,"Oberdorf NW","In Oberdorf NW ist das Zivildienstgesetz mit 68,8 Prozent der Stimmen angenommen worden. Oberdorf NW nimmt das Zivildienstgesetz an, der Kanton Nidwalden lehnt es ab."
1509,48.3,48.3,51.7,"Stans NW","Nein zum Zivildienstgesetz in Stans: 51,7 Prozent. Sowohl Stans als auch der Kanton Nidwalden verwerfen das Zivildienstgesetz."
1510,51.9,51.9,48.1,"Stansstad NW","In Stansstad ist das Zivildienstgesetz mit 51,9 Prozent der Stimmen angenommen worden. Stansstad nimmt das Zivildienstgesetz an, der Kanton Nidwalden lehnt es ab."
1511,49.8,49.8,50.2,"Wolfenschiessen NW","Wolfenschiessen hat das Zivildienstgesetz mit 50,2 Prozent Nein-Stimmen verworfen. Sowohl Wolfenschiessen als auch der Kanton Nidwalden verwerfen das Zivildienstgesetz."
