"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3201,40.6,40.6,59.4,"Häggenschwil SG","In Häggenschwil findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 59,4 Prozent keine Mehrheit. NA"
3202,49.9,49.9,50.1,"Muolen SG","In Muolen ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 50,1 Prozent der Stimmen gescheitert. NA"
3203,12.5,12.5,87.5,"St. Gallen SG","In St. Gallen wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 87,5 Prozent abgelehnt. NA"
3204,50.4,50.4,49.6,"Wittenbach SG","Mit 50,4 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Wittenbach der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
3211,27.7,27.7,72.3,"Berg SG","In Berg SG ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 72,3 Prozent der Stimmen gescheitert. NA"
3212,57.5,57.5,42.5,"Eggersriet SG","In Eggersriet erhält die Initiative ""Keine 10-Millionen-Schweiz"" 57,5 Prozent Zustimmung. NA"
3213,53.3,53.3,46.7,"Goldach SG","53,3 Prozent der Stimmbürgerinnen und Stimmbürger von Goldach haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
3214,53.6,53.6,46.4,"Mörschwil SG","Mörschwil hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 53,6 Prozent. NA"
3215,54,54,46,"Rorschach SG","54 Prozent der Stimmbürgerinnen und Stimmbürger von Rorschach haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
3216,58.5,58.5,41.5,"Rorschacherberg SG","In Rorschacherberg erhält die Initiative ""Keine 10-Millionen-Schweiz"" 58,5 Prozent Zustimmung. NA"
3217,26.6,26.6,73.4,"Steinach SG","In Steinach findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 73,4 Prozent keine Mehrheit. NA"
3218,80.7,80.7,19.3,"Tübach SG","Mit 80,7 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Tübach der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
3219,56.6,56.6,43.4,"Untereggen SG","In Untereggen erhält die Initiative ""Keine 10-Millionen-Schweiz"" 56,6 Prozent Zustimmung. NA"
3231,22.1,22.1,77.9,"Au SG","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Au SG 77,9 Prozent Nein-Stimmen. NA"
3232,58.3,58.3,41.7,"Balgach SG","58,3 Prozent der Stimmbürgerinnen und Stimmbürger von Balgach haben sich für die Initiative ""Keine 10-Millionen-Schweiz"" ausgesprochen. NA"
