"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2401,63.5,63.5,36.5,"Egerkingen SO","NA NA"
2402,85,85,15,"Härkingen SO","NA NA"
2403,38.7,38.7,61.3,"Kestenholz SO","NA NA"
2404,72.1,72.1,27.9,"Neuendorf SO","NA NA"
2405,6.5,6.5,93.5,"Niederbuchsiten SO","NA NA"
2406,10,10,90,"Oberbuchsiten SO","NA NA"
2407,54.6,54.6,45.4,"Oensingen SO","NA NA"
2408,54.9,54.9,45.1,"Wolfwil SO","NA NA"
2421,61.6,61.6,38.4,"Aedermannsdorf SO","NA NA"
2422,11.5,11.5,88.5,"Balsthal SO","NA NA"
2424,48.1,48.1,51.9,"Herbetswil SO","NA NA"
2425,49.1,49.1,50.9,"Holderbank SO","NA NA"
2426,97.6,97.6,2.4,"Laupersdorf SO","NA NA"
2427,54.9,54.9,45.1,"Matzendorf SO","NA NA"
2428,58.1,58.1,41.9,"Mümliswil-Ramiswil SO","NA NA"
2430,52.4,52.4,47.6,"Welschenrohr-Gänsbrunnen SO","NA NA"
2445,37.1,37.1,62.9,"Biezwil SO","NA NA"
2455,23.4,23.4,76.6,"Lüterkofen-Ichertswil SO","NA NA"
2457,44.8,44.8,55.2,"Messen SO","NA NA"
2461,5.1,5.1,94.9,"Schnottwil SO","NA NA"
2463,10,10,90,"Unterramsern SO","NA NA"
2464,81,81,19,"Lüsslingen-Nennigkofen SO","NA NA"
2465,59.6,59.6,40.4,"Buchegg SO","NA NA"
2471,70.5,70.5,29.5,"Bättwil SO","NA NA"
2472,71.9,71.9,28.1,"Büren SO","NA NA"
2473,30.6,30.6,69.4,"Dornach SO","NA NA"
2474,93.2,93.2,6.8,"Gempen SO","NA NA"
2475,36.7,36.7,63.3,"Hochwald SO","NA NA"
2476,23.7,23.7,76.3,"Hofstetten-Flüh SO","NA NA"
2477,44.6,44.6,55.4,"Metzerlen-Mariastein SO","NA NA"
2478,44.5,44.5,55.5,"Nuglar-St. Pantaleon SO","NA NA"
2479,70.2,70.2,29.8,"Rodersdorf SO","NA NA"
2480,66.6,66.6,33.4,"Seewen SO","NA NA"
2481,35.8,35.8,64.2,"Witterswil SO","NA NA"
2491,44.1,44.1,55.9,"Hauenstein-Ifenthal SO","NA NA"
2492,62,62,38,"Kienberg SO","NA NA"
2493,86.3,86.3,13.7,"Lostorf SO","NA NA"
2495,42,42,58,"Niedergösgen SO","NA NA"
2497,36.5,36.5,63.5,"Obergösgen SO","NA NA"
2499,95.2,95.2,4.8,"Stüsslingen SO","NA NA"
2500,47.8,47.8,52.2,"Trimbach SO","NA NA"
2501,41.9,41.9,58.1,"Winznau SO","NA NA"
2502,94.4,94.4,5.6,"Wisen SO","NA NA"
2503,28,28,72,"Erlinsbach SO","NA NA"
2511,36.4,36.4,63.6,"Aeschi SO","NA NA"
2513,47.9,47.9,52.1,"Biberist SO","NA NA"
2514,58.1,58.1,41.9,"Bolken SO","NA NA"
2516,39.3,39.3,60.7,"Deitingen SO","NA NA"
2517,49.9,49.9,50.1,"Derendingen SO","NA NA"
2518,52.4,52.4,47.6,"Etziken SO","NA NA"
2519,38.3,38.3,61.7,"Gerlafingen SO","NA NA"
2523,79.6,79.6,20.4,"Horriwil SO","NA NA"
2524,23.7,23.7,76.3,"Hüniken SO","NA NA"
2525,23.3,23.3,76.7,"Kriegstetten SO","NA NA"
2526,51.3,51.3,48.7,"Lohn-Ammannsegg SO","NA NA"
2527,79.5,79.5,20.5,"Luterbach SO","NA NA"
2528,86.8,86.8,13.2,"Obergerlafingen SO",
2530,55.1,55.1,44.9,"Recherswil SO","NA NA"
2532,50.9,50.9,49.1,"Subingen SO","NA NA"
2534,68.4,68.4,31.6,"Zuchwil SO","NA NA"
2535,31.4,31.4,68.6,"Drei Höfe SO","NA NA"
2541,38,38,62,"Balm bei Günsberg SO","NA NA"
2542,40.6,40.6,59.4,"Bellach SO","NA NA"
2543,88.4,88.4,11.6,"Bettlach SO","NA NA"
2544,90.1,90.1,9.9,"Feldbrunnen-St. Niklaus SO","NA NA"
2545,6.5,6.5,93.5,"Flumenthal SO","NA NA"
2546,23.3,23.3,76.7,"Grenchen SO","NA NA"
2547,38.6,38.6,61.4,"Günsberg SO","NA NA"
2548,78.4,78.4,21.6,"Hubersdorf SO","NA NA"
2549,61.5,61.5,38.5,"Kammersrohr SO","NA NA"
2550,90.8,90.8,9.2,"Langendorf SO","NA NA"
2551,8.5,8.5,91.5,"Lommiswil SO","NA NA"
2553,40.1,40.1,59.9,"Oberdorf SO","NA NA"
2554,39.6,39.6,60.4,"Riedholz SO","NA NA"
2555,30.5,30.5,69.5,"Rüttenen SO","NA NA"
2556,24.3,24.3,75.7,"Selzach SO","NA NA"
2571,71.5,71.5,28.5,"Boningen SO","NA NA"
2572,45.7,45.7,54.3,"Däniken SO","NA NA"
2573,40.4,40.4,59.6,"Dulliken SO","NA NA"
2574,57.7,57.7,42.3,"Eppenberg-Wöschnau SO","NA NA"
2575,67.1,67.1,32.9,"Fulenbach SO","NA NA"
2576,63.8,63.8,36.2,"Gretzenbach SO","NA NA"
2578,71.2,71.2,28.8,"Gunzgen SO","NA NA"
2579,35.5,35.5,64.5,"Hägendorf SO","NA NA"
2580,44.6,44.6,55.4,"Kappel SO","NA NA"
2581,36.1,36.1,63.9,"Olten SO","NA NA"
2582,46,46,54,"Rickenbach SO",
2583,36.4,36.4,63.6,"Schönenwerd SO","NA NA"
2584,97.9,97.9,2.1,"Starrkirch-Wil SO","NA NA"
2585,57,57,43,"Walterswil SO","NA NA"
2586,54.8,54.8,45.2,"Wangen bei Olten SO","NA NA"
2601,79.9,79.9,20.1,"Solothurn SO","NA NA"
2611,66.1,66.1,33.9,"Bärschwil SO","NA NA"
2612,35.7,35.7,64.3,"Beinwil SO","NA NA"
2613,82.9,82.9,17.1,"Breitenbach SO","NA NA"
2614,63.5,63.5,36.5,"Büsserach SO","NA NA"
2615,50.8,50.8,49.2,"Erschwil SO","NA NA"
2616,48.7,48.7,51.3,"Fehren SO","NA NA"
2617,6.8,6.8,93.2,"Grindel SO","NA NA"
2618,53.6,53.6,46.4,"Himmelried SO","NA NA"
2619,44.3,44.3,55.7,"Kleinlützel SO","NA NA"
2620,38.4,38.4,61.6,"Meltingen SO","NA NA"
2621,45.5,45.5,54.5,"Nunningen SO","NA NA"
2622,12.8,12.8,87.2,"Zullwil SO","NA NA"
