"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,22.1,22.1,77.9,"Einsiedeln SZ","77,9 Prozent der Stimmbürgerinnen und Stimmbürger von Einsiedeln haben das Zivildienstgesetz abgelehnt. Sowohl Einsiedeln als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1311,90,90,10,"Gersau SZ","Das Zivildienstgesetz erreicht in Gersau 90 Prozent Ja-Stimmen. Höchster Ja-Anteil zum Zivildienstgesetz im Kanton Schwyz: Gersau."
1321,41.6,41.6,58.4,"Feusisberg SZ","Nein zum Zivildienstgesetz in Feusisberg: 58,4 Prozent. Sowohl Feusisberg als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1322,71.1,71.1,28.9,"Freienbach SZ","Die Vorlage das Zivildienstgesetz ist in Freienbach mit 71,1 Prozent der Stimmen angenommen worden. Freienbach nimmt das Zivildienstgesetz an, der Kanton Schwyz lehnt es ab."
1323,3.4,3.4,96.6,"Wollerau SZ","In Wollerau wird das Zivildienstgesetz mit 96,6 Prozent abgelehnt. Wollerau verzeichnet im Kanton Schwyz den höchsten Nein-Anteil zum Zivildienstgesetz."
1331,17.5,17.5,82.5,"Küssnacht SZ","Nein zum Zivildienstgesetz in Küssnacht SZ: 82,5 Prozent. Sowohl Küssnacht SZ als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1341,46.3,46.3,53.7,"Altendorf SZ","Nein zum Zivildienstgesetz in Altendorf: 53,7 Prozent. Sowohl Altendorf als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1342,46.2,46.2,53.8,"Galgenen SZ","Galgenen hat das Zivildienstgesetz mit 53,8 Prozent Nein-Stimmen verworfen. Sowohl Galgenen als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1343,62.6,62.6,37.4,"Innerthal SZ","In Innerthal wird das Zivildienstgesetz mit 62,6 Prozent angenommen. Innerthal nimmt das Zivildienstgesetz an, der Kanton Schwyz lehnt es ab."
1344,35.6,35.6,64.4,"Lachen SZ","Lachen hat das Zivildienstgesetz mit 64,4 Prozent Nein-Stimmen verworfen. Sowohl Lachen als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1345,84.6,84.6,15.4,"Reichenburg SZ","In Reichenburg wird das Zivildienstgesetz mit 84,6 Prozent angenommen. Reichenburg nimmt das Zivildienstgesetz an, der Kanton Schwyz lehnt es ab."
1346,20.6,20.6,79.4,"Schübelbach SZ","In Schübelbach wird das Zivildienstgesetz mit 79,4 Prozent abgelehnt. Sowohl Schübelbach als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1347,10.5,10.5,89.5,"Tuggen SZ","In Tuggen wird das Zivildienstgesetz mit 89,5 Prozent abgelehnt. Sowohl Tuggen als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1348,47.3,47.3,52.7,"Vorderthal SZ","52,7 Prozent der Stimmbürgerinnen und Stimmbürger von Vorderthal haben das Zivildienstgesetz abgelehnt. Sowohl Vorderthal als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1349,47.4,47.4,52.6,"Wangen SZ","Wangen SZ hat das Zivildienstgesetz mit 52,6 Prozent Nein-Stimmen verworfen. Sowohl Wangen SZ als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1361,21.7,21.7,78.3,"Alpthal SZ","Nein zum Zivildienstgesetz in Alpthal: 78,3 Prozent. Sowohl Alpthal als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1362,89.7,89.7,10.3,"Arth SZ","Das Zivildienstgesetz erreicht in Arth 89,7 Prozent Ja-Stimmen. Arth nimmt das Zivildienstgesetz an, der Kanton Schwyz lehnt es ab."
1363,78,78,22,"Illgau SZ","In Illgau wird das Zivildienstgesetz mit 78 Prozent angenommen. Illgau nimmt das Zivildienstgesetz an, der Kanton Schwyz lehnt es ab."
1364,29.6,29.6,70.4,"Ingenbohl SZ","Ingenbohl hat das Zivildienstgesetz mit 70,4 Prozent Nein-Stimmen verworfen. Sowohl Ingenbohl als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1365,49.1,49.1,50.9,"Lauerz SZ","Nein zum Zivildienstgesetz in Lauerz: 50,9 Prozent. Sowohl Lauerz als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1366,36.5,36.5,63.5,"Morschach SZ","Morschach hat das Zivildienstgesetz mit 63,5 Prozent Nein-Stimmen verworfen. Sowohl Morschach als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1367,10.1,10.1,89.9,"Muotathal SZ","89,9 Prozent der Stimmbürgerinnen und Stimmbürger von Muotathal haben das Zivildienstgesetz abgelehnt. Sowohl Muotathal als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1368,49.5,49.5,50.5,"Oberiberg SZ","Nein zum Zivildienstgesetz in Oberiberg: 50,5 Prozent. Sowohl Oberiberg als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
1369,56.7,56.7,43.3,"Riemenstalden SZ","Die Vorlage das Zivildienstgesetz ist in Riemenstalden mit 56,7 Prozent der Stimmen angenommen worden. Riemenstalden nimmt das Zivildienstgesetz an, der Kanton Schwyz lehnt es ab."
1370,8,8,92,"Rothenthurm SZ","92 Prozent der Stimmbürgerinnen und Stimmbürger von Rothenthurm haben das Zivildienstgesetz abgelehnt. Sowohl Rothenthurm als auch der Kanton Schwyz verwerfen das Zivildienstgesetz."
