"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1301,50,0,0,"Einsiedeln (SZ)","I risultati di questo comune non sono ancora noti."
1311,50,0,0,"Gersau (SZ)","I risultati di questo comune non sono ancora noti."
1321,34.6,34.6,65.4,"Feusisberg (SZ)",
1322,40.4,40.4,59.6,"Freienbach (SZ)",
1323,50,0,0,"Wollerau (SZ)","I risultati di questo comune non sono ancora noti."
1331,50,0,0,"Küssnacht (SZ)","I risultati di questo comune non sono ancora noti."
1341,50,0,0,"Altendorf (SZ)","I risultati di questo comune non sono ancora noti."
1342,50,0,0,"Galgenen (SZ)","I risultati di questo comune non sono ancora noti."
1343,56.4,56.4,43.6,"Innerthal (SZ)",
1344,50,0,0,"Lachen (SZ)","I risultati di questo comune non sono ancora noti."
1345,50,0,0,"Reichenburg (SZ)","I risultati di questo comune non sono ancora noti."
1346,50,0,0,"Schübelbach (SZ)","I risultati di questo comune non sono ancora noti."
1347,50,0,0,"Tuggen (SZ)","I risultati di questo comune non sono ancora noti."
1348,50,0,0,"Vorderthal (SZ)","I risultati di questo comune non sono ancora noti."
1349,50,0,0,"Wangen (SZ)","I risultati di questo comune non sono ancora noti."
1361,30.4,30.4,69.6,"Alpthal (SZ)",
1362,50,0,0,"Arth (SZ)","I risultati di questo comune non sono ancora noti."
1363,50,0,0,"Illgau (SZ)","I risultati di questo comune non sono ancora noti."
1364,42.3,42.3,57.7,"Ingenbohl (SZ)",
1365,42.2,42.2,57.8,"Lauerz (SZ)",
1366,50,0,0,"Morschach (SZ)","I risultati di questo comune non sono ancora noti."
1367,50,0,0,"Muotathal (SZ)","I risultati di questo comune non sono ancora noti."
1368,37.5,37.5,62.5,"Oberiberg (SZ)",
1369,46.3,46.3,53.7,"Riemenstalden (SZ)",
1370,50,0,0,"Rothenthurm (SZ)","I risultati di questo comune non sono ancora noti."
1371,50,0,0,"Sattel (SZ)","I risultati di questo comune non sono ancora noti."
1372,50,0,0,"Svitto (SZ)","I risultati di questo comune non sono ancora noti."
1373,50,0,0,"Steinen (SZ)","I risultati di questo comune non sono ancora noti."
1374,33.3,33.3,66.7,"Steinerberg (SZ)",
1375,40.2,40.2,59.8,"Unteriberg (SZ)",
