"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,54.2,54.2,45.8,"Arbedo-Castione (TI)","A Arbedo-Castione la modifica della legge sul servizio civile è stata approvata con il 54,2 per cento."
5002,50,0,0,"Bellinzona (TI)","I risultati di questo comune non sono ancora noti."
5003,55.8,55.8,44.2,"Cadenazzo (TI)","Sì alla modifica della legge sul servizio civile a Cadenazzo con il 55,8 per cento."
5009,69,69,31,"Isone (TI)","Sì alla modifica della legge sul servizio civile a Isone, con il 69 per cento di voti favorevoli."
5010,54.5,54.5,45.5,"Lumino (TI)","A Lumino, la modifica della legge sul servizio civile è approvata con il 54,5 per cento."
5017,57.5,57.5,42.5,"Sant'Antonino (TI)","A Sant'Antonino, la modifica della legge sul servizio civile è approvata con il 57,5 per cento."
5048,58.5,58.5,41.5,"Acquarossa (TI)","A Acquarossa la modifica della legge sul servizio civile è stata approvata con il 58,5 per cento."
5049,61.7,61.7,38.3,"Blenio (TI)","A Blenio la modifica della legge sul servizio civile è stata approvata con il 61,7 per cento."
5050,55,55,45,"Serravalle (TI)","A Serravalle, la modifica della legge sul servizio civile è approvata con il 55 per cento."
5061,71.4,71.4,28.6,"Airolo (TI)","Sì alla modifica della legge sul servizio civile a Airolo con il 71,4 per cento."
5063,62.3,62.3,37.7,"Bedretto (TI)","A Bedretto, la modifica della legge sul servizio civile è approvata con 48 voti contro 29."
5071,59.6,59.6,40.4,"Dalpe (TI)","A Dalpe la modifica della legge sul servizio civile passa con 53 contro 36 voti."
5072,62.3,62.3,37.7,"Faido (TI)","A Faido, la modifica della legge sul servizio civile è approvata con il 62,3 per cento."
5073,57.3,57.3,42.7,"Giornico (TI)","Sì alla modifica della legge sul servizio civile a Giornico: 57,3 per cento."
5076,59.9,59.9,40.1,"Personico (TI)","La popolazione di Personico approva la modifica della legge sul servizio civile con il 59,9 per cento."
5077,54.9,54.9,45.1,"Pollegio (TI)","A Pollegio, la modifica della legge sul servizio civile è stata approvata con il 54,9 per cento."
5079,63.5,63.5,36.5,"Quinto (TI)","La popolazione di Quinto approva la modifica della legge sul servizio civile con il 63,5 per cento."
5091,57.4,57.4,42.6,"Ascona (TI)","Sì alla modifica della legge sul servizio civile a Ascona: 57,4 per cento."
5096,60.7,60.7,39.3,"Brione sopra Minusio (TI)","Sì alla modifica della legge sul servizio civile a Brione sopra Minusio, con il 60,7 per cento di voti favorevoli."
5097,57.1,57.1,42.9,"Brissago (TI)","A Brissago la modifica della legge sul servizio civile è stata approvata con il 57,1 per cento."
