"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1201,34.5,34.5,65.5,"Altdorf UR","NA NA"
1202,40.7,40.7,59.3,"Andermatt UR","NA NA"
1203,29.2,29.2,70.8,"Attinghausen UR","NA NA"
1205,36.7,36.7,63.3,"Bürglen UR","NA NA"
1206,22.3,22.3,77.7,"Erstfeld UR","NA NA"
1207,46.1,46.1,53.9,"Flüelen UR","NA NA"
1208,45.5,45.5,54.5,"Göschenen UR","NA NA"
1209,13,13,87,"Gurtnellen UR","NA NA"
1210,28,28,72,"Hospental UR","NA NA"
1211,50.2,50.2,49.8,"Isenthal UR","NA NA"
1212,17.3,17.3,82.7,"Realp UR","NA NA"
1213,15.5,15.5,84.5,"Schattdorf UR","NA NA"
1214,59.8,59.8,40.2,"Seedorf UR","NA NA"
1215,47.4,47.4,52.6,"Seelisberg UR","NA NA"
1216,48,48,52,"Silenen UR","NA NA"
1217,76.6,76.6,23.4,"Sisikon UR","NA NA"
1218,42.2,42.2,57.8,"Spiringen UR","NA NA"
1219,7.3,7.3,92.7,"Unterschächen UR","NA NA"
1220,66.9,66.9,33.1,"Wassen UR","NA NA"
