"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1201,73.4,73.4,26.6,"Altdorf UR","In Altdorf UR erhält die Initiative ""Keine 10-Millionen-Schweiz"" 73,4 Prozent Zustimmung. NA"
1202,62.1,62.1,37.9,"Andermatt UR","Mit 62,1 Prozent befürworten die Stimmberechtigten von Andermatt die Initiative ""Keine 10-Millionen-Schweiz"". NA"
1203,46.1,46.1,53.9,"Attinghausen UR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Attinghausen 53,9 Prozent Nein-Stimmen. NA"
1205,61.3,61.3,38.7,"Bürglen UR","Mit 61,3 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Bürglen UR der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
1206,59.2,59.2,40.8,"Erstfeld UR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Erstfeld 59,2 Prozent Ja-Stimmen. NA"
1207,18.7,18.7,81.3,"Flüelen UR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Flüelen 81,3 Prozent Nein-Stimmen. NA"
1208,44.3,44.3,55.7,"Göschenen UR","55,7 Prozent der Stimmbürgerinnen und Stimmbürger von Göschenen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
1209,44.6,44.6,55.4,"Gurtnellen UR","In Gurtnellen findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 55,4 Prozent keine Mehrheit. NA"
1210,12.2,12.2,87.8,"Hospental UR","In Hospental findet die Initiative ""Keine 10-Millionen-Schweiz"" mit 87,8 Prozent keine Mehrheit. NA"
1211,32.1,32.1,67.9,"Isenthal UR","67,9 Prozent der Stimmbürgerinnen und Stimmbürger von Isenthal sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
1212,69.1,69.1,30.9,"Realp UR","Realp hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 69,1 Prozent. NA"
1213,69.5,69.5,30.5,"Schattdorf UR","Schattdorf hat die Initiative ""Keine 10-Millionen-Schweiz"" angenommen; der Ja-Stimmen-Anteil liegt bei 69,5 Prozent. NA"
1214,45.1,45.1,54.9,"Seedorf UR","In Seedorf UR wird die Initiative ""Keine 10-Millionen-Schweiz"" mit 54,9 Prozent abgelehnt. NA"
1215,49.2,49.2,50.8,"Seelisberg UR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Seelisberg 50,8 Prozent Nein-Stimmen. NA"
1216,29,29,71,"Silenen UR","71 Prozent der Stimmbürgerinnen und Stimmbürger von Silenen sprechen sich gegen die Initiative ""Keine 10-Millionen-Schweiz"" aus. NA"
1217,52,52,48,"Sisikon UR","In Sisikon erhält die Initiative ""Keine 10-Millionen-Schweiz"" 52 Prozent Zustimmung. NA"
1218,21.6,21.6,78.4,"Spiringen UR","In Spiringen ist die Initiative ""Keine 10-Millionen-Schweiz"" mit 78,4 Prozent der Stimmen gescheitert. NA"
1219,50.8,50.8,49.2,"Unterschächen UR","Die Initiative ""Keine 10-Millionen-Schweiz"" erreicht in Unterschächen 50,8 Prozent Ja-Stimmen. NA"
1220,76.6,76.6,23.4,"Wassen UR","Mit 76,6 Prozent Ja-Stimmen hat eine Mehrheit der Stimmberechtigten in Wassen der Initiative ""Keine 10-Millionen-Schweiz"" zugestimmt. NA"
