"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,63.8,63.8,36.2,"Aigle (VD)","Les citoyens d'Aigle disent oui à 63,8 à l'initiative demandant de fixer le salaire minimum à 23,6 francs de l'heure. Ils s'opposent par contre au contre-projet du Conseil d'Etat qui fixe le salaire minimum à 23 francs de l'heure et donne la priorité à une éventuelle convention collective de travail, avec 57,8 pour cent de non."
5402,34.5,34.5,65.5,"Bex (VD)","Les citoyens de Bex ne veulent ni d'un salaire minimum fixé à 23,6 francs de l'heure, ni du contre-projet fixant le salaire minimum à 23 francs de l'heure avec priorité aux conventions collectives de travail. Ils ont refusé l'initiative avec 65,5 pour cent de non et le contre-projet avec 94,5 pour cent de non."
5403,47.9,47.9,52.1,"Chessel (VD)","Non à 52,1 pour cent à l'initiative qui demande un salaire minimum de 23,6 francs de l'heure, et non aussi à 56,3 pour cent au contre-projet qui fixe le salaire minimum à 23 francs de l'heure tout en donnant la priorité aux conventions collectives de travail. Les citoyens de Chessel ont refusé les deux propositions."
5404,39.2,39.2,60.8,"Corbeyrier (VD)","C'est oui à 62,1 pour cent à Corbeyrier au contre-projet qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail. C'est non par contre à 60,8 pour cent à l'initiative qui demande un salaire minimum de 23,6 francs de l'heure."
5405,78,78,22,"Gryon (VD)","Oui à 88,2 pour cent au contre-projet fixant le salaire minimum à 23 francs de l'heure et prévoyant la primauté d'une éventuelle convention collective de travail. Et oui aussi à 78 pour cent à l'initiative qui exige un salaire minimum de 23,6 francs de l'heure. Invités à trancher entre ces deux propositions, les habitants de Gryon ont opté pour le contre-projet avec 82 pour cent de oui."
5406,30.3,30.3,69.7,"Lavey-Morcles (VD)","Ni l'initiative, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Lavey-Morcles. Ils refusent avec 69,7 pour cent de non l'initiative fixant le salaire minimum à 23,6 francs de l'heure. Ils s'opposent aussi au contre-projet (64,3 pour cent de non), qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail."
5407,85.8,85.8,14.2,"Leysin (VD)","C'est oui à Leysin à 85,8 pour cent à l'initiative qui demande de fixer le salaire minimum à 23,6 francs de l'heure. C'est non par contre à 95,4 pour cent au contre-projet du Conseil d'Etat qui prévoit un salaire minimum de 23 francs de l'heure et la primauté d'une éventuelle convention collective de travail."
5408,50.3,50.3,49.7,"Noville (VD)","Oui à 85,9 pour cent au contre-projet fixant le salaire minimum à 23 francs de l'heure et prévoyant la primauté d'une éventuelle convention collective de travail. Et oui aussi à 50,3 pour cent à l'initiative qui exige un salaire minimum de 23,6 francs de l'heure. Invités à trancher entre ces deux propositions, les habitants de Noville ont opté pour le contre-projet avec 98,5 pour cent de oui."
5409,56.2,56.2,43.8,"Ollon (VD)","Les ayants droit d'Ollon ont tranché: ils sont favorables à l'initiative qui demande de fixer le salaire minimum à 23,6 francs de l'heure. Les citoyens ont dit oui à 56,2. Ils acceptent aussi le contre-projet du gouvernement avec 56,1 pour cent de oui. Cette proposition fixe le salaire minimum à 23 francs de l'heure tout en donnant la priorité à une éventuelle convention collective de travail. Invités à choisir, les habitants d'Ollon tranchent toutefois en faveur de l'initiative avec 65,9 pour cent de oui."
5410,35,35,65,"Ormont-Dessous (VD)","Les citoyens d'Ormont-Dessous acceptent avec 54,5 pour cent de oui le contre-projet qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail. Ils s'opposent par contre à l'initiative qui demande un salaire minimum de 23,6 francs de l'heure (non à 65 pour cent)."
5411,63.3,63.3,36.7,"Ormont-Dessus (VD)","Les citoyens d'Ormont-Dessus ont tranché en faveur du contre-projet du Conseil d'Etat qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail (66,6 pour cent de oui). Ils ont préféré cette proposition avec 60,2 pour cent de oui. Ils ont toutefois également approuvé avec 63,3 pour cent de oui l'initiative demandant un salaire minimum de 23,6 francs de l'heure."
5412,24,24,76,"Rennaz (VD)","Les citoyens de Rennaz disent oui à 89,4 au contre-projet qui fixe le salaire minimum à 23 francs de l'heure et donne la priorité à une éventuelle convention collective de travail. Ils refusent par contre l'initiative qui demande un salaire minimum de 23,6 francs de l'heure (non à 76 pour cent)."
5413,37.7,37.7,62.3,"Roche (VD)","Ni l'initiative, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Roche (VD). Ils refusent avec 62,3 pour cent de non l'initiative fixant le salaire minimum à 23,6 francs de l'heure. Ils s'opposent aussi au contre-projet (86,9 pour cent de non), qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail."
5414,37.5,37.5,62.5,"Villeneuve (VD)","Ni l'initiative, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Villeneuve (VD). Ils refusent avec 62,5 pour cent de non l'initiative fixant le salaire minimum à 23,6 francs de l'heure. Ils s'opposent aussi au contre-projet (50,9 pour cent de non), qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail."
5415,51.6,51.6,48.4,"Yvorne (VD)","Les citoyens d'Yvorne disent oui à 51,6 à l'initiative demandant de fixer le salaire minimum à 23,6 francs de l'heure. Ils s'opposent par contre au contre-projet du Conseil d'Etat qui fixe le salaire minimum à 23 francs de l'heure et donne la priorité à une éventuelle convention collective de travail, avec 73,4 pour cent de non."
5422,96.9,96.9,3.1,"Aubonne (VD)","Les citoyens d'Aubonne disent oui à 96,9 à l'initiative demandant de fixer le salaire minimum à 23,6 francs de l'heure. Ils s'opposent par contre au contre-projet du Conseil d'Etat qui fixe le salaire minimum à 23 francs de l'heure et donne la priorité à une éventuelle convention collective de travail, avec 51,2 pour cent de non."
5423,7.8,7.8,92.2,"Ballens (VD)","Ni l'initiative, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Ballens. Ils refusent avec 92,2 pour cent de non l'initiative fixant le salaire minimum à 23,6 francs de l'heure. Ils s'opposent aussi au contre-projet (72,9 pour cent de non), qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail."
5424,83.5,83.5,16.5,"Berolle (VD)","Les citoyens de Berolle acceptent avec 83,5 pour cent de oui l'initiative exigeant un salaire minimum de 23,6 francs de l'heure. Ils refusent le contre-projet du Conseil d'Etat (72,5 pour cent de non), qui prévoit un salaire minimum de 23 francs de l'heure et la primauté d'une éventuelle convention collective de travail."
5425,30,30,70,"Bière (VD)","Non à 70 pour cent à l'initiative qui demande un salaire minimum de 23,6 francs de l'heure, et non aussi à 66,6 pour cent au contre-projet qui fixe le salaire minimum à 23 francs de l'heure tout en donnant la priorité aux conventions collectives de travail. Les citoyens de Bière ont refusé les deux propositions."
5426,99.8,99.8,0.2,"Bougy-Villars (VD)","Les citoyens de Bougy-Villars acceptent l'initiative qui vise à fixer le salaire minimum à 23,6 francs de l'heure. Ils sont 99,8 pour cent à approuver ce texte. Les ayants droit de Bougy-Villars ont également dit oui au contre-projet du Conseil d'Etat, qui fixe le salaire minimum à 23 francs de l'heure et prévoit qu'une éventuelle convention collective de travail prime sur ce minimum. Ils l'acceptent à 64,6 pour cent. Les électeurs donnent cependant leur préférence à l'initiative, avec 51,1 pour cent de oui."
5427,43.3,43.3,56.7,"Féchy (VD)","Ni l'initiative, ni le contre-projet ne trouvent grâce aux yeux des citoyens de Féchy. Ils refusent avec 56,7 pour cent de non l'initiative fixant le salaire minimum à 23,6 francs de l'heure. Ils s'opposent aussi au contre-projet (53,3 pour cent de non), qui fixe le salaire minimum à 23 francs de l'heure et prévoit la primauté d'une éventuelle convention collective de travail."
