"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,"contre-proposition oui",42.2,57.8,"Aigle (VD)",
5402,"contre-proposition oui",34.6,65.4,"Bex (VD)",
5403,"contre-proposition oui",7.3,92.7,"Chessel (VD)",
5404,"initiative oui",87.4,12.6,"Corbeyrier (VD)",
5405,"contre-proposition oui",32.3,67.7,"Gryon (VD)",
5406,"contre-proposition oui",34.4,65.6,"Lavey-Morcles (VD)",
5407,"deux fois non",35.1,64.9,"Leysin (VD)",
5408,"initiative oui",53.9,46.1,"Noville (VD)",
5409,"deux fois non",49.6,50.4,"Ollon (VD)",
5410,"contre-proposition oui",84.7,15.3,"Ormont-Dessous (VD)",
5411,"contre-proposition oui",51.7,48.3,"Ormont-Dessus (VD)",
5412,"initiative oui",72.6,27.4,"Rennaz (VD)",
5413,"contre-proposition oui",31.2,68.8,"Roche (VD)",
5414,"contre-proposition oui",62.8,37.2,"Villeneuve (VD)",
5415,"initiative oui",94.1,5.9,"Yvorne (VD)",
5422,"initiative oui",69.4,30.6,"Aubonne (VD)",
5423,"initiative oui",66.8,33.2,"Ballens (VD)",
5424,"initiative oui",57.1,42.9,"Berolle (VD)",
5425,"contre-proposition oui",22.7,77.3,"Bière (VD)",
5426,"initiative oui",96.8,3.2,"Bougy-Villars (VD)",
5427,"initiative oui",54.1,45.9,"Féchy (VD)",
5428,"contre-proposition oui",54.4,45.6,"Gimel (VD)",
5429,"contre-proposition oui",68.2,31.8,"Longirod (VD)",
5430,"contre-proposition oui",67.7,32.3,"Marchissy (VD)",
5431,"contre-proposition oui",46.8,53.2,"Mollens (VD)",
5434,"initiative oui",80.7,19.3,"Saint-George (VD)",
5435,"contre-proposition oui",94.7,5.3,"Saint-Livres (VD)",
5436,"deux fois non",24.1,75.9,"Saint-Oyens (VD)",
5437,"initiative oui",71.4,28.6,"Saubraz (VD)",
5451,"deux fois non",39.9,60.1,"Avenches (VD)",
5456,"deux fois non",21.5,78.5,"Cudrefin (VD)",
5458,"initiative oui",69.2,30.8,"Faoug (VD)",
5464,"deux fois non",15.5,84.5,"Vully-les-Lacs (VD)",
5471,"contre-proposition oui",11.1,88.9,"Bettens (VD)",
5472,"deux fois non",45.4,54.6,"Bournens (VD)",
5473,"contre-proposition oui",38.1,61.9,"Boussens (VD)",
5474,"initiative oui",77.6,22.4,"La Chaux (Cossonay) (VD)",
5475,"initiative oui",95.1,4.9,"Chavannes-le-Veyron (VD)",
5476,"contre-proposition oui",66,34,"Chevilly (VD)",
5477,"contre-proposition oui",48.4,51.6,"Cossonay (VD)",
5479,"deux fois non",39.2,60.8,"Cuarnens (VD)",
5480,"initiative oui",53.7,46.3,"Daillens (VD)",
5481,"contre-proposition oui",29.9,70.1,"Dizy (VD)",
5482,"initiative oui",57.6,42.4,"Eclépens (VD)",
5483,"initiative oui",75.5,24.5,"Ferreyres (VD)",
5484,"deux fois non",20.3,79.7,"Gollion (VD)",
5485,"initiative oui",63.1,36.9,"Grancy (VD)",
5486,"deux fois non",14.7,85.3,"L'Isle (VD)",
5487,"deux fois non",12.6,87.4,"Lussery-Villars (VD)",
5488,"deux fois non",15.2,84.8,"Mauraz (VD)",
5489,"initiative oui",62,38,"Mex (VD)",
5490,"contre-proposition oui",32.1,67.9,"Moiry (VD)",
5491,"deux fois non",4,96,"Mont-la-Ville (VD)",
5492,"initiative oui",82.5,17.5,"Montricher (VD)",
5493,"initiative oui",71.5,28.5,"Orny (VD)",
5495,"initiative oui",73.2,26.8,"Penthalaz (VD)",
5496,"contre-proposition oui",45.9,54.1,"Penthaz (VD)",
5497,"initiative oui",55.3,44.7,"Pompaples (VD)",
5498,"contre-proposition oui",36.1,63.9,"La Sarraz (VD)",
5499,"initiative oui",71.6,28.4,"Senarclens (VD)",
5501,"contre-proposition oui",40.8,59.2,"Sullens (VD)",
5503,"contre-proposition oui",24.3,75.7,"Vufflens-la-Ville (VD)",
5511,"contre-proposition oui",43.6,56.4,"Assens (VD)",
5512,"contre-proposition oui",48.8,51.2,"Bercher (VD)",
5514,"initiative oui",51.3,48.7,"Bottens (VD)",
5515,"contre-proposition oui",32.6,67.4,"Bretigny-sur-Morrens (VD)",
5516,"contre-proposition oui",48.7,51.3,"Cugy (VD)",
5518,"contre-proposition oui",59.5,40.5,"Echallens (VD)",
5520,"contre-proposition oui",38.7,61.3,"Essertines-sur-Yverdon (VD)",
5521,"initiative oui",57.7,42.3,"Etagnières (VD)",
5522,"contre-proposition oui",24.2,75.8,"Fey (VD)",
5523,"initiative oui",63.4,36.6,"Froideville (VD)",
5527,"contre-proposition oui",4.9,95.1,"Morrens (VD)",
5529,"initiative oui",84.1,15.9,"Oulens-sous-Echallens (VD)",
5530,"contre-proposition oui",47,53,"Pailly (VD)",
5531,"deux fois non",35.6,64.4,"Penthéréaz (VD)",
5533,"initiative oui",95.6,4.4,"Poliez-Pittet (VD)",
5534,"deux fois non",12.5,87.5,"Rueyres (VD)",
5535,"initiative oui",66,34,"Saint-Barthélemy (VD)",
5537,"deux fois non",40.5,59.5,"Villars-le-Terroir (VD)",
5539,"initiative oui",65.1,34.9,"Vuarrens (VD)",
5540,"contre-proposition oui",61.7,38.3,"Montilliez (VD)",
5541,"contre-proposition oui",72.4,27.6,"Goumoëns (VD)",
5551,"contre-proposition oui",24,76,"Bonvillars (VD)",
5552,"initiative oui",51,49,"Bullet (VD)",
5553,"contre-proposition oui",29.7,70.3,"Champagne (VD)",
5554,"initiative oui",65.6,34.4,"Concise (VD)",
5555,"initiative oui",57.4,42.6,"Corcelles-près-Concise (VD)",
5556,"contre-proposition oui",15.1,84.9,"Fiez (VD)",
5557,"initiative oui",54.9,45.1,"Fontaines-sur-Grandson (VD)",
5559,"contre-proposition oui",69.9,30.1,"Giez (VD)",
5560,"deux fois non",11,89,"Grandevent (VD)",
5561,"initiative oui",58.7,41.3,"Grandson (VD)",
5562,"contre-proposition oui",29.9,70.1,"Mauborget (VD)",
5563,"initiative oui",70.3,29.7,"Mutrux (VD)",
5564,"deux fois non",3,97,"Novalles (VD)",
5565,"initiative oui",71.3,28.7,"Onnens (VD)",
5566,"initiative oui",57.4,42.6,"Provence (VD)",
5568,"deux fois non",40.9,59.1,"Sainte-Croix (VD)",
