"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6002,64.5,64.5,35.5,"Brigue-Glis (VS)","NA NA"
6004,58.3,58.3,41.7,"Eggerberg (VS)","NA NA"
6007,51.9,51.9,48.1,"Naters (VS)","NA NA"
6008,79.6,79.6,20.4,"Ried-Brig (VS)","NA NA"
6009,52.3,52.3,47.7,"Simplon (VS)","NA NA"
6010,51.3,51.3,48.7,"Termen (VS)","NA NA"
6011,50.6,50.6,49.4,"Zwischbergen (VS)","NA NA"
6021,75.1,75.1,24.9,"Ardon (VS)","NA NA"
6022,54.3,54.3,45.7,"Chamoson (VS)","NA NA"
6023,30.3,30.3,69.7,"Conthey (VS)","NA NA"
6024,43.8,43.8,56.2,"Nendaz (VS)","NA NA"
6025,79.5,79.5,20.5,"Vétroz (VS)","NA NA"
6032,37.5,37.5,62.5,"Bourg-Saint-Pierre (VS)","NA NA"
6033,61.9,61.9,38.1,"Liddes (VS)","NA NA"
6034,74.8,74.8,25.2,"Orsières (VS)","NA NA"
6035,95.4,95.4,4.6,"Sembrancher (VS)","NA NA"
6037,46.7,46.7,53.3,"Val de Bagnes (VS)","NA NA"
6052,52.4,52.4,47.6,"Bellwald (VS)","NA NA"
6054,81.8,81.8,18.2,"Binn (VS)","NA NA"
6056,10.3,10.3,89.7,"Ernen (VS)","NA NA"
6057,88.2,88.2,11.8,"Fiesch (VS)","NA NA"
6058,13.6,13.6,86.4,"Fieschertal (VS)","NA NA"
6061,4.4,4.4,95.6,"Lax (VS)","NA NA"
6076,54.4,54.4,45.6,"Obergoms (VS)","NA NA"
6077,45.6,45.6,54.4,"Goms (VS)","NA NA"
6082,55.3,55.3,44.7,"Ayent (VS)","NA NA"
6083,74.3,74.3,25.7,"Evolène (VS)","NA NA"
6084,61,61,39,"Hérémence (VS)","NA NA"
6087,59.3,59.3,40.7,"Saint-Martin (VS)","NA NA"
6089,97.7,97.7,2.3,"Vex (VS)","NA NA"
6090,38.3,38.3,61.7,"Mont-Noble (VS)","NA NA"
6101,33.2,33.2,66.8,"Agarn (VS)","NA NA"
6102,2.1,2.1,97.9,"Albinen (VS)","NA NA"
6104,91.6,91.6,8.4,"Ergisch (VS)","NA NA"
6109,54.6,54.6,45.4,"Inden (VS)","NA NA"
6110,71,71,29,"Loèche (VS)","NA NA"
6111,85.3,85.3,14.7,"Loèche-les-Bains (VS)","NA NA"
6112,33.2,33.2,66.8,"Oberems (VS)","NA NA"
6113,8.1,8.1,91.9,"Salquenen (VS)","NA NA"
6116,45,45,55,"Varone (VS)","NA NA"
6117,42.6,42.6,57.4,"Guttet-Feschel (VS)","NA NA"
6118,15.9,15.9,84.1,"Gampel-Bratsch (VS)","NA NA"
6119,58.5,58.5,41.5,"Turtmann-Unterems (VS)","NA NA"
6131,72,72,28,"Bovernier (VS)","NA NA"
6133,41,41,59,"Fully (VS)","NA NA"
6134,33.5,33.5,66.5,"Isérables (VS)","NA NA"
6135,70.4,70.4,29.6,"Leytron (VS)","NA NA"
6136,83.2,83.2,16.8,"Martigny (VS)","NA NA"
6137,49.7,49.7,50.3,"Martigny-Combe (VS)","NA NA"
6139,90,90,10,"Riddes (VS)","NA NA"
6140,30.1,30.1,69.9,"Saillon (VS)","NA NA"
6141,63.6,63.6,36.4,"Saxon (VS)","NA NA"
6142,62.9,62.9,37.1,"Trient (VS)","NA NA"
6151,42.5,42.5,57.5,"Champéry (VS)","NA NA"
6152,61.2,61.2,38.8,"Collombey-Muraz (VS)","NA NA"
6153,56.1,56.1,43.9,"Monthey (VS)","NA NA"
6154,69.4,69.4,30.6,"Port-Valais (VS)","NA NA"
