"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,52.4,52.4,47.6,"Aeugst am Albis ZH","52,4 Prozent der Stimmbürgerinnen und Stimmbürger in Aeugst am Albis sagen Ja zur Initiative ""Stopp Prämien-Schock""."
2,56.2,56.2,43.8,"Affoltern am Albis ZH","56,2 Prozent der Stimmbürgerinnen und Stimmbürger in Affoltern am Albis sagen Ja zur Initiative ""Stopp Prämien-Schock""."
3,53.3,53.3,46.7,"Bonstetten ZH","53,3 Prozent der Stimmbürgerinnen und Stimmbürger in Bonstetten sagen Ja zur Initiative ""Stopp Prämien-Schock""."
4,54.3,54.3,45.7,"Hausen am Albis ZH","In Hausen am Albis ist die Initiative ""Stopp Prämien-Schock"" mit 54,3 Prozent der Stimmen angenommen worden."
5,52.8,52.8,47.2,"Hedingen ZH","52,8 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
6,58.3,58.3,41.7,"Kappel am Albis ZH","58,3 Prozent der Stimmbürgerinnen und Stimmbürger in Kappel am Albis sagen Ja zur Initiative ""Stopp Prämien-Schock""."
7,61,61,39,"Knonau ZH","61 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
8,65.3,65.3,34.7,"Maschwanden ZH","In Maschwanden ist die Initiative ""Stopp Prämien-Schock"" mit 65,3 Prozent der Stimmen angenommen worden."
9,59.2,59.2,40.8,"Mettmenstetten ZH","In Mettmenstetten ist die Initiative ""Stopp Prämien-Schock"" mit 59,2 Prozent der Stimmen angenommen worden."
10,57.6,57.6,42.4,"Obfelden ZH","In Obfelden ist die Initiative ""Stopp Prämien-Schock"" mit 57,6 Prozent der Stimmen angenommen worden."
11,56.4,56.4,43.6,"Ottenbach ZH","56,4 Prozent der Stimmbürgerinnen und Stimmbürger von Ottenbach haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
12,52.6,52.6,47.4,"Rifferswil ZH","52,6 Prozent der Stimmbürgerinnen und Stimmbürger von Rifferswil haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
13,55.2,55.2,44.8,"Stallikon ZH","In Stallikon ist die Initiative ""Stopp Prämien-Schock"" mit 55,2 Prozent der Stimmen angenommen worden."
14,54.8,54.8,45.2,"Wettswil am Albis ZH","54,8 Prozent der Stimmbürgerinnen und Stimmbürger in Wettswil am Albis sagen Ja zur Initiative ""Stopp Prämien-Schock""."
22,63.2,63.2,36.8,"Benken ZH","63,2 Prozent der Stimmbürgerinnen und Stimmbürger von Benken ZH haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
23,63.1,63.1,36.9,"Berg am Irchel ZH","63,1 Prozent der Stimmbürgerinnen und Stimmbürger in Berg am Irchel sagen Ja zur Initiative ""Stopp Prämien-Schock""."
24,54.3,54.3,45.7,"Buch am Irchel ZH","In Buch am Irchel ist die Initiative ""Stopp Prämien-Schock"" mit 54,3 Prozent der Stimmen angenommen worden."
25,56.5,56.5,43.5,"Dachsen ZH","In Dachsen ist die Initiative ""Stopp Prämien-Schock"" mit 56,5 Prozent der Stimmen angenommen worden."
26,59.1,59.1,40.9,"Dorf ZH","In Dorf ist die Initiative ""Stopp Prämien-Schock"" mit 59,1 Prozent der Stimmen angenommen worden."
27,55.3,55.3,44.7,"Feuerthalen ZH","55,3 Prozent der Stimmbürgerinnen und Stimmbürger in Feuerthalen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
28,64,64,36,"Flaach ZH","64 Prozent der Stimmbürgerinnen und Stimmbürger in Flaach sagen Ja zur Initiative ""Stopp Prämien-Schock""."
