"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,27.3,27.3,72.7,"Aeugst am Albis ZH","Die Wohnschutzinitiative ist in Aeugst am Albis mit 62,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 72,7 Prozent abgelehnt."
2,96.1,96.1,3.9,"Affoltern am Albis ZH","Affoltern am Albis hat mit 55,8 Prozent Nein gesagt zur Wohnschutzinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 96,1 Prozent."
3,46.6,46.6,53.4,"Bonstetten ZH","Die Wohnschutzinitiative ist in Bonstetten mit 59,1 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 53,4 Prozent abgelehnt."
4,93.4,93.4,6.6,"Hausen am Albis ZH","86,5 Prozent der Abstimmenden in Hausen am Albis haben sich gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 93,4 Prozent."
5,69.6,69.6,30.4,"Hedingen ZH","Hedingen hat sich mit 81,7 Prozent gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 69,6 Prozent angenommen."
6,42.1,42.1,57.9,"Kappel am Albis ZH","Kappel am Albis hat sowohl die Wohnschutzinitiative (98,1 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (57,9 Prozent Nein) abgelehnt."
7,72.2,72.2,27.8,"Knonau ZH","Die Wohnschutzinitiative ist in Knonau mit 56,1 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 72,2 Prozent. Bei der Stichfrage bevorzugten 74,4 Prozent den Gegenvorschlag."
8,63.9,63.9,36.1,"Maschwanden ZH","61,6 Prozent der Abstimmenden in Maschwanden haben sich gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen erhielt eine Zustimmung von 63,9 Prozent."
9,48.2,48.2,51.8,"Mettmenstetten ZH","Mettmenstetten hat mit 77,6 Prozent Ja gesagt zur Wohnschutzinitiative. Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 51,8 Prozent ab."
10,34.9,34.9,65.1,"Obfelden ZH","Weder die Wohnschutzinitiative (86,5 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (65,1 Prozent Nein) haben in Obfelden eine Mehrheit gefunden."
11,74.6,74.6,25.4,"Ottenbach ZH","Ottenbach hat sich mit 67,7 Prozent gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 74,6 Prozent angenommen."
12,57.5,57.5,42.5,"Rifferswil ZH","Rifferswil hat sich mit 80,8 Prozent gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 57,5 Prozent angenommen."
13,26.3,26.3,73.7,"Stallikon ZH","Weder die Wohnschutzinitiative (57,4 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (73,7 Prozent Nein) haben in Stallikon eine Mehrheit gefunden."
14,50.2,50.2,49.8,"Wettswil am Albis ZH","Wettswil am Albis hat mit 75,1 Prozent Nein gesagt zur Wohnschutzinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 50,2 Prozent."
22,87.7,87.7,12.3,"Benken ZH","Benken ZH hat sich mit 83 Prozent gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 87,7 Prozent angenommen."
23,88.8,88.8,11.2,"Berg am Irchel ZH","Berg am Irchel hat mit 89,5 Prozent Nein gesagt zur Wohnschutzinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 88,8 Prozent."
24,55.5,55.5,44.5,"Buch am Irchel ZH","79,7 Prozent der Stimmbürgerinnen und Stimmbürger von Buch am Irchel haben sich für die Wohnschutzinitiative und 55,5 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 82,3 Prozent dem Gegenvorschlag den Vorrang."
25,62.9,62.9,37.1,"Dachsen ZH","88,2 Prozent der Stimmbürgerinnen und Stimmbürger von Dachsen haben sich für die Wohnschutzinitiative und 62,9 Prozent für den Gegenvorschlag von Kantons- und Regierungsrat ausgesprochen. Bei der Stichfrage gaben 77,8 Prozent der Initiative den Vorrang."
26,18.3,18.3,81.7,"Dorf ZH","Weder die Wohnschutzinitiative (59 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (81,7 Prozent Nein) haben in Dorf eine Mehrheit gefunden."
27,55.6,55.6,44.4,"Feuerthalen ZH","Feuerthalen hat mit 69,2 Prozent Nein gesagt zur Wohnschutzinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 55,6 Prozent."
28,55.6,55.6,44.4,"Flaach ZH","Flaach hat die Wohnschutzinitiative mit 67,3 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 55,6 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 58,8 Prozent für die Initiative ausgesprochen."
29,49.7,49.7,50.3,"Flurlingen ZH","Die Wohnschutzinitiative ist in Flurlingen mit 57,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 50,3 Prozent abgelehnt."
31,36.3,36.3,63.7,"Henggart ZH","Henggart hat sowohl die Wohnschutzinitiative (63,2 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (63,7 Prozent Nein) abgelehnt."
33,51.3,51.3,48.7,"Kleinandelfingen ZH","Die Wohnschutzinitiative ist in Kleinandelfingen mit 73,9 Prozent der Stimmen angenommen worden. Aber auch der Gegenvorschlag von Kantons- und Regierungsrat überzeugte einen Mehrheit von 51,3 Prozent. Bei der Stichfrage haben sich die Stimmberechtigten mit 57,3 Prozent für die Initiative ausgesprochen."
34,24.4,24.4,75.6,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen hat sowohl die Wohnschutzinitiative (74,9 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (75,6 Prozent Nein) abgelehnt."
35,24.6,24.6,75.4,"Marthalen ZH","Sowohl die Wohnschutzinitiative (53 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (75,4 Prozent Nein) sind in Marthalen durchgefallen."
37,77.8,77.8,22.2,"Ossingen ZH","Ossingen hat sich mit 74,6 Prozent gegen die Wohnschutzinitiative ausgesprochen. Der Gegenvorschlag des Kantons- und Regierungsrates hingegen wurde mit 77,8 Prozent angenommen."
38,53.5,53.5,46.5,"Rheinau ZH","Rheinau hat die Wohnschutzinitiative mit 70,4 Prozent und den Gegenvorschlag von Kantons- und Regierungsrats mit 53,5 Prozent angenommen.Bei der Stichfrage haben sich die Stimmberechtigten mit 54,3 Prozent für die Initiative ausgesprochen."
39,79.1,79.1,20.9,"Thalheim an der Thur ZH","Thalheim an der Thur hat mit 88,9 Prozent Nein gesagt zur Wohnschutzinitiative. Der Gegenvorschlag des Regierungs- und Kantonsrates hingegen fand eine Ja-Mehrheit von 79,1 Prozent."
40,39.5,39.5,60.5,"Trüllikon ZH","Weder die Wohnschutzinitiative (82,2 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (60,5 Prozent Nein) haben in Trüllikon eine Mehrheit gefunden."
