"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,55,55,45,"Aeugst am Albis ZH","Die Wohnschutzinitiative ist in Aeugst am Albis mit 55 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 69,6 Prozent abgelehnt."
2,71.5,71.5,28.5,"Affoltern am Albis ZH","Die Wohnschutzinitiative ist in Affoltern am Albis mit 71,5 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 80,9 Prozent abgelehnt."
3,93.6,93.6,6.4,"Bonstetten ZH","Die Wohnschutzinitiative ist in Bonstetten mit 93,6 Prozent der Stimmen angenommen worden. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 93,5 Prozent abgelehnt."
4,24.6,24.6,75.4,"Hausen am Albis ZH","Weder die Wohnschutzinitiative (75,4 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (65,4 Prozent Nein) haben in Hausen am Albis eine Mehrheit gefunden."
5,54.5,54.5,45.5,"Hedingen ZH","Die Gemeinde Hedingen hat die Wohnschutzinitiative mit 54,5 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 76,7 Prozent abgelehnt."
6,26.6,26.6,73.4,"Kappel am Albis ZH","Kappel am Albis hat sowohl die Wohnschutzinitiative (73,4 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (91,2 Prozent Nein) abgelehnt."
7,60.4,60.4,39.6,"Knonau ZH","Die Gemeinde Knonau hat die Wohnschutzinitiative mit 60,4 Prozent angenommen. Der Gegenvorschlag von Kantons- und Regierungsrat hingegen wurde mit 88,4 Prozent abgelehnt."
8,33.2,33.2,66.8,"Maschwanden ZH","Weder die Wohnschutzinitiative (66,8 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (65,2 Prozent Nein) haben in Maschwanden eine Mehrheit gefunden."
9,73.5,73.5,26.5,"Mettmenstetten ZH","Mettmenstetten hat mit 73,5 Prozent Ja gesagt zur Wohnschutzinitiative. Den Gegenvorschlag von Kantons- und Regierungsrat lehnte eine Mehrheit von 79,3 Prozent ab."
10,33,33,67,"Obfelden ZH","Weder die Wohnschutzinitiative (67 Prozent Nein) noch der Gegenvorschlag des Kantons- und Regierungsrats (50,3 Prozent Nein) haben in Obfelden eine Mehrheit gefunden."
11,22.5,22.5,77.5,"Ottenbach ZH","Sowohl die Wohnschutzinitiative (77,5 Prozent Nein) als auch den Gegenvorschlag des Kantons- und Regierungsrats (95,3 Prozent Nein) sind in Ottenbach durchgefallen."
