"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,"nessun risultato",0,0,"Aeugst am Albis (ZH)","I resultati di questa comune non sono ancora noti."
2,"controproposta si",39.2,60.8,"Affoltern am Albis (ZH)",
3,"nessun risultato",0,0,"Bonstetten (ZH)","I resultati di questa comune non sono ancora noti."
4,"nessun risultato",0,0,"Hausen am Albis (ZH)","I resultati di questa comune non sono ancora noti."
5,"nessun risultato",0,0,"Hedingen (ZH)","I resultati di questa comune non sono ancora noti."
6,"controproposta si",28.7,71.3,"Kappel am Albis (ZH)",
7,"nessun risultato",0,0,"Knonau (ZH)","I resultati di questa comune non sono ancora noti."
8,"controproposta si",33.9,66.1,"Maschwanden (ZH)",
9,"nessun risultato",0,0,"Mettmenstetten (ZH)","I resultati di questa comune non sono ancora noti."
10,"controproposta si",34.8,65.2,"Obfelden (ZH)",
11,"controproposta si",29.7,70.3,"Ottenbach (ZH)",
12,"controproposta si",41.5,58.5,"Rifferswil (ZH)",
13,"nessun risultato",0,0,"Stallikon (ZH)","I resultati di questa comune non sono ancora noti."
14,"nessun risultato",0,0,"Wettswil am Albis (ZH)","I resultati di questa comune non sono ancora noti."
22,"controproposta si",29.8,70.2,"Benken (ZH)",
23,"nessun risultato",0,0,"Berg am Irchel (ZH)","I resultati di questa comune non sono ancora noti."
24,"nessun risultato",0,0,"Buch am Irchel (ZH)","I resultati di questa comune non sono ancora noti."
25,"nessun risultato",0,0,"Dachsen (ZH)","I resultati di questa comune non sono ancora noti."
26,"nessun risultato",0,0,"Dorf (ZH)","I resultati di questa comune non sono ancora noti."
27,"nessun risultato",0,0,"Feuerthalen (ZH)","I resultati di questa comune non sono ancora noti."
28,"nessun risultato",0,0,"Flaach (ZH)","I resultati di questa comune non sono ancora noti."
29,"nessun risultato",0,0,"Flurlingen (ZH)","I resultati di questa comune non sono ancora noti."
31,"controproposta si",27.9,72.1,"Henggart (ZH)",
33,"nessun risultato",0,0,"Kleinandelfingen (ZH)","I resultati di questa comune non sono ancora noti."
34,"nessun risultato",0,0,"Laufen-Uhwiesen (ZH)","I resultati di questa comune non sono ancora noti."
35,"nessun risultato",0,0,"Marthalen (ZH)","I resultati di questa comune non sono ancora noti."
37,"controproposta si",32.3,67.7,"Ossingen (ZH)",
38,"nessun risultato",0,0,"Rheinau (ZH)","I resultati di questa comune non sono ancora noti."
39,"nessun risultato",0,0,"Thalheim an der Thur (ZH)","I resultati di questa comune non sono ancora noti."
40,"nessun risultato",0,0,"Trüllikon (ZH)","I resultati di questa comune non sono ancora noti."
41,"controproposta si",37.2,62.8,"Truttikon (ZH)",
43,"controproposta si",36.4,63.6,"Volken (ZH)",
51,"nessun risultato",0,0,"Bachenbülach (ZH)","I resultati di questa comune non sono ancora noti."
52,"nessun risultato",0,0,"Bassersdorf (ZH)","I resultati di questa comune non sono ancora noti."
53,"nessun risultato",0,0,"Bülach (ZH)","I resultati di questa comune non sono ancora noti."
54,"nessun risultato",0,0,"Dietlikon (ZH)","I resultati di questa comune non sono ancora noti."
55,"nessun risultato",0,0,"Eglisau (ZH)","I resultati di questa comune non sono ancora noti."
56,"nessun risultato",0,0,"Embrach (ZH)","I resultati di questa comune non sono ancora noti."
57,"controproposta si",27.8,72.2,"Freienstein-Teufen (ZH)",
58,"nessun risultato",0,0,"Glattfelden (ZH)","I resultati di questa comune non sono ancora noti."
59,"controproposta si",33.7,66.3,"Hochfelden (ZH)",
60,"nessun risultato",0,0,"Höri (ZH)","I resultati di questa comune non sono ancora noti."
61,"controproposta si",27.5,72.5,"Hüntwangen (ZH)",
62,"nessun risultato",0,0,"Kloten (ZH)","I resultati di questa comune non sono ancora noti."
63,"controproposta si",25.2,74.8,"Lufingen (ZH)",
