"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,"deux fois non",42.6,57.4,"Aeugst am Albis (ZH)",
2,"contre-proposition oui",7,93,"Affoltern am Albis (ZH)",
3,"deux fois non",30,70,"Bonstetten (ZH)",
4,"initiative oui",59.3,40.7,"Hausen am Albis (ZH)",
5,"initiative oui",50.1,49.9,"Hedingen (ZH)",
6,"contre-proposition oui",92.2,7.8,"Kappel am Albis (ZH)",
7,"contre-proposition oui",90.5,9.5,"Knonau (ZH)",
8,"deux fois non",38.7,61.3,"Maschwanden (ZH)",
9,"deux fois non",16,84,"Mettmenstetten (ZH)",
10,"deux fois non",19.1,80.9,"Obfelden (ZH)",
11,"deux fois non",42.6,57.4,"Ottenbach (ZH)",
12,"deux fois non",32.4,67.6,"Rifferswil (ZH)",
13,"initiative oui",54.2,45.8,"Stallikon (ZH)",
14,"initiative oui",53.1,46.9,"Wettswil am Albis (ZH)",
22,"initiative oui",52.1,47.9,"Benken (ZH)",
23,"contre-proposition oui",23.2,76.8,"Berg am Irchel (ZH)",
24,"deux fois non",25.4,74.6,"Buch am Irchel (ZH)",
25,"contre-proposition oui",2.1,97.9,"Dachsen (ZH)",
26,"contre-proposition oui",84.2,15.8,"Dorf (ZH)",
27,"deux fois non",3.9,96.1,"Feuerthalen (ZH)",
28,"initiative oui",96.4,3.6,"Flaach (ZH)",
29,"contre-proposition oui",53.4,46.6,"Flurlingen (ZH)",
31,"contre-proposition oui",28.1,71.9,"Henggart (ZH)",
33,"deux fois non",49.4,50.6,"Kleinandelfingen (ZH)",
34,"contre-proposition oui",68.1,31.9,"Laufen-Uhwiesen (ZH)",
35,"deux fois non",6.8,93.2,"Marthalen (ZH)",
37,"contre-proposition oui",32.4,67.6,"Ossingen (ZH)",
38,"contre-proposition oui",46,54,"Rheinau (ZH)",
39,"deux fois non",4.2,95.8,"Thalheim an der Thur (ZH)",
40,"contre-proposition oui",49.2,50.8,"Trüllikon (ZH)",
41,"deux fois non",25.8,74.2,"Truttikon (ZH)",
43,"contre-proposition oui",68.2,31.8,"Volken (ZH)",
51,"initiative oui",82,18,"Bachenbülach (ZH)",
52,"initiative oui",71.6,28.4,"Bassersdorf (ZH)",
53,"initiative oui",50.7,49.3,"Bülach (ZH)",
54,"initiative oui",68.5,31.5,"Dietlikon (ZH)",
55,"contre-proposition oui",74.4,25.6,"Eglisau (ZH)",
56,"initiative oui",83.5,16.5,"Embrach (ZH)",
57,"contre-proposition oui",66.5,33.5,"Freienstein-Teufen (ZH)",
58,"contre-proposition oui",64,36,"Glattfelden (ZH)",
59,"contre-proposition oui",61.5,38.5,"Hochfelden (ZH)",
60,"contre-proposition oui",82,18,"Höri (ZH)",
61,"initiative oui",56.2,43.8,"Hüntwangen (ZH)",
62,"initiative oui",62.6,37.4,"Kloten (ZH)",
63,"initiative oui",51.1,48.9,"Lufingen (ZH)",
64,"contre-proposition oui",23.8,76.2,"Nürensdorf (ZH)",
65,"contre-proposition oui",66,34,"Oberembrach (ZH)",
66,"initiative oui",91.4,8.6,"Opfikon (ZH)",
67,"deux fois non",21.6,78.4,"Rafz (ZH)",
68,"contre-proposition oui",35.2,64.8,"Rorbas (ZH)",
69,"initiative oui",81.3,18.7,"Wallisellen (ZH)",
