"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it","link_wappen"
1,49.2,49.2,50.8,"Aeugst am Albis (ZH)","A Aeugst am Albis, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 50,8 per cento. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Aeugst am Albis rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 60 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/5/58/CHE_Aeugst_am_Albis_COA.svg/250px-CHE_Aeugst_am_Albis_COA.svg.png"
2,44.8,44.8,55.2,"Affoltern am Albis (ZH)","A Affoltern am Albis l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 55,2 per cento. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Affoltern am Albis rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 61 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6c/CHE_Affoltern_am_Albis_COA.svg/250px-CHE_Affoltern_am_Albis_COA.svg.png"
3,41.4,41.4,58.6,"Bonstetten (ZH)","A Bonstetten l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata respinta con il 58,6 per cento. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Bonstetten rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 66,2 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/1/12/CHE_Bonstetten_COA.svg/330px-CHE_Bonstetten_COA.svg.png"
4,44.6,44.6,55.4,"Hausen am Albis (ZH)","A Hausen am Albis l'Iniziativa ""No a una Svizzera da 10 milioni!"" non ottiene la maggioranza: 55,4 per cento di no. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Hausen am Albis rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 62,4 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/CHE_Hausen_am_Albis_COA.svg/250px-CHE_Hausen_am_Albis_COA.svg.png"
5,41.4,41.4,58.6,"Hedingen (ZH)","La popolazione di Hedingen respinge l'Iniziativa ""No a una Svizzera da 10 milioni!"" con il 58,6 per cento. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Hedingen rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 64,7 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cf/CHE_Hedingen_COA.svg/250px-CHE_Hedingen_COA.svg.png"
6,55.9,55.9,44.1,"Kappel am Albis (ZH)","La popolazione di Kappel am Albis approva l'Iniziativa ""No a una Svizzera da 10 milioni!"" con il 55,9 per cento. Con questo risultato, Kappel am Albis passa nel campo dei favorevoli. Nel 2020 aveva bocciato l'iniziativa ""Per un'immigrazione moderata"".","https://thumb.wikimedia.org/wikipedia/commons/thumb/6/62/CHE_Kappel_am_Albis_COA.svg/250px-CHE_Kappel_am_Albis_COA.svg.png"
7,45.6,45.6,54.4,"Knonau (ZH)","La popolazione di Knonau respinge l'Iniziativa ""No a una Svizzera da 10 milioni!"" con il 54,4 per cento. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Knonau rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 60,8 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/7/70/CHE_Knonau_COA.svg/250px-CHE_Knonau_COA.svg.png"
8,52.2,52.2,47.8,"Maschwanden (ZH)","A Maschwanden, l'Iniziativa ""No a una Svizzera da 10 milioni!"" è stata approvata con il 52,2 per cento. Con questo risultato, Maschwanden passa nel campo dei favorevoli. Nel 2020 aveva bocciato l'iniziativa ""Per un'immigrazione moderata"".","https://thumb.wikimedia.org/wikipedia/commons/thumb/c/c8/CHE_Maschwanden_COA.svg/250px-CHE_Maschwanden_COA.svg.png"
9,46.5,46.5,53.5,"Mettmenstetten (ZH)","A Mettmenstetten l'Iniziativa ""No a una Svizzera da 10 milioni!"" non ottiene la maggioranza: 53,5 per cento di no. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Mettmenstetten rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 60,5 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/CHE_Mettmenstetten_COA.svg/250px-CHE_Mettmenstetten_COA.svg.png"
10,49.3,49.3,50.7,"Obfelden (ZH)","A Obfelden l'Iniziativa ""No a una Svizzera da 10 milioni!"" non ottiene la maggioranza: 50,7 per cento di no. Il rifiuto all'Iniziativa ""No a una Svizzera da 10 milioni!"" è diminuito a Obfelden rispetto all'iniziativa ""Per un'immigrazione moderata"" del 2020. In tale occasione, il 57,6 percento degli abitanti aveva bocciato il testo.","https://thumb.wikimedia.org/wikipedia/commons/thumb/3/37/CHE_Obfelden_COA.svg/250px-CHE_Obfelden_COA.svg.png"
